File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_001.tif,Page,Page 1,1,ark:/21198/z13b8np4,ark:/21198/z1n619j4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n619j4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_002.tif,Page,Page 2,2,ark:/21198/z13b8np4,ark:/21198/z1hf0jvv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0jvv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_003.tif,Page,Page 3,3,ark:/21198/z13b8np4,ark:/21198/z1cn9t3j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9t3j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_004.tif,Page,Page 4,4,ark:/21198/z13b8np4,ark:/21198/z17w92br,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w92br
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_005.tif,Page,Page 5,5,ark:/21198/z13b8np4,ark:/21198/z14489mb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14489mb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_006.tif,Page,Page 6,6,ark:/21198/z13b8np4,ark:/21198/z10c7jx2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7jx2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_007.tif,Page,Page 7,7,ark:/21198/z13b8np4,ark:/21198/z1vq5rrr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rrr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_008.tif,Page,Page 8,8,ark:/21198/z13b8np4,ark:/21198/z1qz513q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz513q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_009.tif,Page,Page 9,9,ark:/21198/z13b8np4,ark:/21198/z1m648f6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m648f6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_010.tif,Page,Page 10,10,ark:/21198/z13b8np4,ark:/21198/z1gf3hnk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3hnk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_011.tif,Page,Page 11,11,ark:/21198/z13b8np4,ark:/21198/z1bp2rz9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2rz9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_012.tif,Page,Page 12,12,ark:/21198/z13b8np4,ark:/21198/z16x216x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x216x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_013.tif,Page,Page 13,13,ark:/21198/z13b8np4,ark:/21198/z13518hz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13518hz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_014.tif,Page,Page 14,14,ark:/21198/z13b8np4,ark:/21198/z1zg9gb3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9gb3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_015.tif,Page,Page 15,15,ark:/21198/z13b8np4,ark:/21198/z1tq8qqq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8qqq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_016.tif,Page,Page 16,16,ark:/21198/z13b8np4,ark:/21198/z1pz800s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz800s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_017.tif,Page,Page 17,17,ark:/21198/z13b8np4,ark:/21198/z1k6778c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k6778c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_018.tif,Page,Page 18,18,ark:/21198/z13b8np4,ark:/21198/z1ff6gh6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6gh6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_019.tif,Page,Page 19,19,ark:/21198/z13b8np4,ark:/21198/z19p5qsg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5qsg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_020.tif,Page,Page 20,20,ark:/21198/z13b8np4,ark:/21198/z1613pgs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613pgs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_021.tif,Page,Page 21,21,ark:/21198/z13b8np4,ark:/21198/z1282xqm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282xqm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_022.tif,Page,Page 22,22,ark:/21198/z13b8np4,ark:/21198/z1xh2fb2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2fb2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_023.tif,Page,Page 23,23,ark:/21198/z13b8np4,ark:/21198/z1sr1pmb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1pmb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_024.tif,Page,Page 24,24,ark:/21198/z13b8np4,ark:/21198/z1p00xvg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00xvg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_025.tif,Page,Page 25,25,ark:/21198/z13b8np4,ark:/21198/z1j70633,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j70633
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_026.tif,Page,Page 26,26,ark:/21198/z13b8np4,ark:/21198/z1df9fct,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9fct
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_027.tif,Page,Page 27,27,ark:/21198/z13b8np4,ark:/21198/z18s7d2t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7d2t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_028.tif,Page,Page 28,28,ark:/21198/z13b8np4,ark:/21198/z1516nbd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516nbd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_029.tif,Page,Page 29,29,ark:/21198/z13b8np4,ark:/21198/z1185wpk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185wpk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_030.tif,Page,Page 30,30,ark:/21198/z13b8np4,ark:/21198/z1wh5d6p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5d6p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_031.tif,Page,Page 31,31,ark:/21198/z13b8np4,ark:/21198/z1rr4nd2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4nd2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_032.tif,Page,Page 32,32,ark:/21198/z13b8np4,ark:/21198/z1n03wpn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03wpn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_033.tif,Page,Page 33,33,ark:/21198/z13b8np4,ark:/21198/z1h734xv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h734xv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_034.tif,Page,Page 34,34,ark:/21198/z13b8np4,ark:/21198/z1ck13mv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck13mv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_035.tif,Page,Page 35,35,ark:/21198/z13b8np4,ark:/21198/z17t0bw4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bw4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_036.tif,Page,Page 36,36,ark:/21198/z13b8np4,ark:/21198/z1419m7g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419m7g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_037.tif,Page,Page 37,37,ark:/21198/z13b8np4,ark:/21198/z1088vg9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088vg9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_038.tif,Page,Page 38,38,ark:/21198/z13b8np4,ark:/21198/z1vh8c1v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh8c1v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_039.tif,Page,Page 39,39,ark:/21198/z13b8np4,ark:/21198/z1qr7m8p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7m8p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_040.tif,Page,Page 40,40,ark:/21198/z13b8np4,ark:/21198/z1m06vkq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m06vkq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_041.tif,Page,Page 41,41,ark:/21198/z13b8np4,ark:/21198/z1gb4t78,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4t78
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_042.tif,Page,Page 42,42,ark:/21198/z13b8np4,ark:/21198/z1bk42hx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk42hx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_043.tif,Page,Page 43,43,ark:/21198/z13b8np4,ark:/21198/z16t39v3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t39v3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_044.tif,Page,Page 44,44,ark:/21198/z13b8np4,ark:/21198/z1322k3n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1322k3n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_045.tif,Page,Page 45,45,ark:/21198/z13b8np4,ark:/21198/z1z922mb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z922mb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_046.tif,Page,Page 46,46,ark:/21198/z13b8np4,ark:/21198/z1tj19tq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19tq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_047.tif,Page,Page 47,47,ark:/21198/z13b8np4,ark:/21198/z1ps0k3d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0k3d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_048.tif,Page,Page 48,48,ark:/21198/z13b8np4,ark:/21198/z1k38hsr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38hsr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_049.tif,Page,Page 49,49,ark:/21198/z13b8np4,ark:/21198/z1fb7s3w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7s3w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_050.tif,Page,Page 50,50,ark:/21198/z13b8np4,ark:/21198/z19k71d0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k71d0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_051.tif,Page,Page 51,51,ark:/21198/z13b8np4,ark:/21198/z15t68p8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t68p8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_052.tif,Page,Page 52,52,ark:/21198/z13b8np4,ark:/21198/z1225hxd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hxd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_053.tif,Page,Page 53,53,ark:/21198/z13b8np4,ark:/21198/z1x951fh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x951fh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_054.tif,Page,Page 54,54,ark:/21198/z13b8np4,ark:/21198/z1sj48qs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj48qs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_055.tif,Page,Page 55,55,ark:/21198/z13b8np4,ark:/21198/z1nw27cb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw27cb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_056.tif,Page,Page 56,56,ark:/21198/z13b8np4,ark:/21198/z1j41gpc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41gpc
