File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_001.tif,Page,Page 1,1,ark:/21198/z13n4rx3,ark:/21198/z1vm71x1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm71x1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_002.tif,Page,Page 2,2,ark:/21198/z13n4rx3,ark:/21198/z1qv696q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv696q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_003.tif,Page,Page 3,3,ark:/21198/z13n4rx3,ark:/21198/z1m35jdd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35jdd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_004.tif,Page,Page 4,4,ark:/21198/z13n4rx3,ark:/21198/z1gb4spp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4spp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_005.tif,Page,Page 5,5,ark:/21198/z13n4rx3,ark:/21198/z1bk41xw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk41xw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_006.tif,Page,Page 6,6,ark:/21198/z13n4rx3,ark:/21198/z16t399x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t399x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_007.tif,Page,Page 7,7,ark:/21198/z13n4rx3,ark:/21198/z13517zc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13517zc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_008.tif,Page,Page 8,8,ark:/21198/z13n4rx3,ark:/21198/z1zd0rj0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0rj0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_009.tif,Page,Page 9,9,ark:/21198/z13n4rx3,ark:/21198/z1tn00s6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn00s6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_010.tif,Page,Page 10,10,ark:/21198/z13n4rx3,ark:/21198/z1pv981w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv981w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_011.tif,Page,Page 11,11,ark:/21198/z13n4rx3,ark:/21198/z1k38h7k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38h7k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_012.tif,Page,Page 12,12,ark:/21198/z13n4rx3,ark:/21198/z1fb7rhv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7rhv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_013.tif,Page,Page 13,13,ark:/21198/z13n4rx3,ark:/21198/z19k70vd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k70vd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_014.tif,Page,Page 14,14,ark:/21198/z13n4rx3,ark:/21198/z15x4zj1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4zj1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_015.tif,Page,Page 15,15,ark:/21198/z13n4rx3,ark:/21198/z12546ww,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12546ww
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_016.tif,Page,Page 16,16,ark:/21198/z13n4rx3,ark:/21198/z1xd3qbq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3qbq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_017.tif,Page,Page 17,17,ark:/21198/z13n4rx3,ark:/21198/z1sn2znf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2znf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_018.tif,Page,Page 18,18,ark:/21198/z13n4rx3,ark:/21198/z1nw26v6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw26v6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_019.tif,Page,Page 19,19,ark:/21198/z13n4rx3,ark:/21198/z1j41g46,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41g46
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_020.tif,Page,Page 20,20,ark:/21198/z13n4rx3,ark:/21198/z1dc0qht,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0qht
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330422_021.tif,Page,Page 21,21,ark:/21198/z13n4rx3,ark:/21198/z18p8p4c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8p4c
