File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_001.tif,Page,Page 1,1,ark:/21198/z14b5pvz,ark:/21198/z1fj55w2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj55w2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_002.tif,Page,Page 2,2,ark:/21198/z14b5pvz,ark:/21198/z19w34k2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w34k2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_003.tif,Page,Page 3,3,ark:/21198/z14b5pvz,ark:/21198/z1642ct6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642ct6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_004.tif,Page,Page 4,4,ark:/21198/z14b5pvz,ark:/21198/z12c1n4b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1n4b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_005.tif,Page,Page 5,5,ark:/21198/z14b5pvz,ark:/21198/z1xm14k4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm14k4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_006.tif,Page,Page 6,6,ark:/21198/z14b5pvz,ark:/21198/z1sv0ctz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0ctz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_007.tif,Page,Page 7,7,ark:/21198/z14b5pvz,ark:/21198/z1p29n59,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29n59
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_008.tif,Page,Page 8,8,ark:/21198/z14b5pvz,ark:/21198/z1j98wg1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98wg1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_009.tif,Page,Page 9,9,ark:/21198/z14b5pvz,ark:/21198/z1dn6v34,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6v34
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_010.tif,Page,Page 10,10,ark:/21198/z14b5pvz,ark:/21198/z18w63d7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w63d7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_011.tif,Page,Page 11,11,ark:/21198/z14b5pvz,ark:/21198/z1545bpt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bpt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_012.tif,Page,Page 12,12,ark:/21198/z14b5pvz,ark:/21198/z11c4kxn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4kxn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195106_013.tif,Page,Page 13,13,ark:/21198/z14b5pvz,ark:/21198/z1wm43fr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm43fr
