File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_001.tif,Page,Page 1,1,ark:/21198/z14n1t3b,ark:/21198/z1tj19g7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19g7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_002.tif,Page,Page 2,2,ark:/21198/z14n1t3b,ark:/21198/z1ps0jq2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0jq2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_003.tif,Page,Page 3,3,ark:/21198/z14n1t3b,ark:/21198/z1k09t2d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09t2d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_004.tif,Page,Page 4,4,ark:/21198/z14n1t3b,ark:/21198/z1f792b2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f792b2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_005.tif,Page,Page 5,5,ark:/21198/z14n1t3b,ark:/21198/z19g89ns,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g89ns
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_006.tif,Page,Page 6,6,ark:/21198/z14n1t3b,ark:/21198/z15t688w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t688w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_007.tif,Page,Page 7,7,ark:/21198/z14n1t3b,ark:/21198/z1225hjg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hjg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_008.tif,Page,Page 8,8,ark:/21198/z14n1t3b,ark:/21198/z1x95131,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x95131
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_009.tif,Page,Page 9,9,ark:/21198/z14n1t3b,ark:/21198/z1sj48bv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj48bv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_010.tif,Page,Page 10,10,ark:/21198/z14n1t3b,ark:/21198/z1ns3hp1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3hp1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_011.tif,Page,Page 11,11,ark:/21198/z14n1t3b,ark:/21198/z1j12rzm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12rzm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_012.tif,Page,Page 12,12,ark:/21198/z14n1t3b,ark:/21198/z1d8217p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d8217p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_013.tif,Page,Page 13,13,ark:/21198/z14n1t3b,ark:/21198/z18k9zvf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9zvf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_014.tif,Page,Page 14,14,ark:/21198/z14n1t3b,ark:/21198/z14t976d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t976d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n08_015.tif,Page,Page 15,15,ark:/21198/z14n1t3b,ark:/21198/z1128gd3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gd3
