File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_001.tif,Page,Page 1,1,ark:/21198/z1642c7k,ark:/21198/z1rn5z33,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5z33
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_002.tif,Page,Page 2,2,ark:/21198/z1642c7k,ark:/21198/z1mw56cr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw56cr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_003.tif,Page,Page 3,3,ark:/21198/z1642c7k,ark:/21198/z1h44fq7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44fq7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_004.tif,Page,Page 4,4,ark:/21198/z1642c7k,ark:/21198/z1cc3pz2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3pz2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_005.tif,Page,Page 5,5,ark:/21198/z1642c7k,ark:/21198/z17m2z7r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2z7r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_006.tif,Page,Page 6,6,ark:/21198/z1642c7k,ark:/21198/z13z0wxb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z0wxb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_007.tif,Page,Page 7,7,ark:/21198/z1642c7k,ark:/21198/z1060575,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1060575
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_008.tif,Page,Page 8,8,ark:/21198/z1642c7k,ark:/21198/z1vd9np1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9np1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_009.tif,Page,Page 9,9,ark:/21198/z1642c7k,ark:/21198/z1qn8x05,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8x05
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_010.tif,Page,Page 10,10,ark:/21198/z1642c7k,ark:/21198/z1kw858t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw858t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_011.tif,Page,Page 11,11,ark:/21198/z1642c7k,ark:/21198/z1g47dkv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47dkv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_012.tif,Page,Page 12,12,ark:/21198/z1642c7k,ark:/21198/z1bc6ntp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6ntp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_013.tif,Page,Page 13,13,ark:/21198/z1642c7k,ark:/21198/z16q4mg7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4mg7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_014.tif,Page,Page 14,14,ark:/21198/z1642c7k,ark:/21198/z12z3vsz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3vsz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_015.tif,Page,Page 15,15,ark:/21198/z1642c7k,ark:/21198/z1z63c7g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63c7g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_016.tif,Page,Page 16,16,ark:/21198/z1642c7k,ark:/21198/z1tf2mj6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2mj6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_017.tif,Page,Page 17,17,ark:/21198/z1642c7k,ark:/21198/z1pp1vwc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1vwc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_018.tif,Page,Page 18,18,ark:/21198/z1642c7k,ark:/21198/z1jx145f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx145f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195207_019.tif,Page,Page 19,19,ark:/21198/z1642c7k,ark:/21198/z1f50cf1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50cf1
