File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_001.tif,Page,Page 1,1,ark:/21198/z1699s34,ark:/21198/z1807rj9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807rj9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_002.tif,Page,Page 2,2,ark:/21198/z1699s34,ark:/21198/z14770sh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770sh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_003.tif,Page,Page 3,3,ark:/21198/z1699s34,ark:/21198/z10g681r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g681r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_004.tif,Page,Page 4,4,ark:/21198/z1699s34,ark:/21198/z1vq5rg5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rg5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_005.tif,Page,Page 5,5,ark:/21198/z1699s34,ark:/21198/z1qz50tq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz50tq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_006.tif,Page,Page 6,6,ark:/21198/z1699s34,ark:/21198/z1m92zg6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zg6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_007.tif,Page,Page 7,7,ark:/21198/z1699s34,ark:/21198/z1gj26v6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26v6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_008.tif,Page,Page 8,8,ark:/21198/z1699s34,ark:/21198/z1bs1g20,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1g20
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_009.tif,Page,Page 9,9,ark:/21198/z1699s34,ark:/21198/z1710qbk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710qbk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195002_010.tif,Page,Page 10,10,ark:/21198/z1699s34,ark:/21198/z1379zkv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zkv
