File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_001.tif,Page,Page 1,1,ark:/21198/z1739df9,ark:/21198/z12j9208,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j9208
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_002.tif,Page,Page 2,2,ark:/21198/z1739df9,ark:/21198/z1xw77xw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw77xw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_003.tif,Page,Page 3,3,ark:/21198/z1739df9,ark:/21198/z1t46h7b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46h7b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_004.tif,Page,Page 4,4,ark:/21198/z1739df9,ark:/21198/z1pc5rj2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc5rj2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_005.tif,Page,Page 5,5,ark:/21198/z1739df9,ark:/21198/z1jm50tq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm50tq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_006.tif,Page,Page 6,6,ark:/21198/z1739df9,ark:/21198/z1dv482z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv482z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_007.tif,Page,Page 7,7,ark:/21198/z1739df9,ark:/21198/z1933hbj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933hbj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_008.tif,Page,Page 8,8,ark:/21198/z1739df9,ark:/21198/z15b2rmt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2rmt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_009.tif,Page,Page 9,9,ark:/21198/z1739df9,ark:/21198/z11p0q8c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0q8c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_010.tif,Page,Page 10,10,ark:/21198/z1739df9,ark:/21198/z1wx06vz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06vz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_011.tif,Page,Page 11,11,ark:/21198/z1739df9,ark:/21198/z1s49g5v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49g5v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_012.tif,Page,Page 12,12,ark:/21198/z1739df9,ark:/21198/z1nc8qdp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8qdp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_013.tif,Page,Page 13,13,ark:/21198/z1739df9,ark:/21198/z1hm7zm2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7zm2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_014.tif,Page,Page 14,14,ark:/21198/z1739df9,ark:/21198/z1cv76wq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv76wq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_015.tif,Page,Page 15,15,ark:/21198/z1739df9,ark:/21198/z18655mg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18655mg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_016.tif,Page,Page 16,16,ark:/21198/z1739df9,ark:/21198/z14f4dv9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4dv9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_017.tif,Page,Page 17,17,ark:/21198/z1739df9,ark:/21198/z10p3p6w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3p6w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_018.tif,Page,Page 18,18,ark:/21198/z1739df9,ark:/21198/z1vx35r1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx35r1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_019.tif,Page,Page 19,19,ark:/21198/z1739df9,ark:/21198/z1r52dzq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52dzq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_020.tif,Page,Page 20,20,ark:/21198/z1739df9,ark:/21198/z1md1p7d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1p7d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_021.tif,Page,Page 21,21,ark:/21198/z1739df9,ark:/21198/z1gn0xg7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0xg7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_022.tif,Page,Page 22,22,ark:/21198/z1739df9,ark:/21198/z1bz8w64,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8w64
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_023.tif,Page,Page 23,23,ark:/21198/z1739df9,ark:/21198/z17684g3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17684g3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_024.tif,Page,Page 24,24,ark:/21198/z1739df9,ark:/21198/z13f7ct8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7ct8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_025.tif,Page,Page 25,25,ark:/21198/z1739df9,ark:/21198/z1zp6w9j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6w9j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_026.tif,Page,Page 26,26,ark:/21198/z1739df9,ark:/21198/z1tx64k6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx64k6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_027.tif,Page,Page 27,27,ark:/21198/z1739df9,ark:/21198/z1q55csw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55csw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_028.tif,Page,Page 28,28,ark:/21198/z1739df9,ark:/21198/z1kd4n2k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4n2k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_029.tif,Page,Page 29,29,ark:/21198/z1739df9,ark:/21198/z1fr2ksm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2ksm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_030.tif,Page,Page 30,30,ark:/21198/z1739df9,ark:/21198/z1b01v15,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01v15
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_031.tif,Page,Page 31,31,ark:/21198/z1739df9,ark:/21198/z16713cq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16713cq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_032.tif,Page,Page 32,32,ark:/21198/z1739df9,ark:/21198/z12g0bn0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12g0bn0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_033.tif,Page,Page 33,33,ark:/21198/z1739df9,ark:/21198/z1xp9v4q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9v4q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_034.tif,Page,Page 34,34,ark:/21198/z1739df9,ark:/21198/z1sx93cx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx93cx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_035.tif,Page,Page 35,35,ark:/21198/z1739df9,ark:/21198/z1p58bnh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58bnh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_036.tif,Page,Page 36,36,ark:/21198/z1739df9,ark:/21198/z1jh69cz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh69cz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_037.tif,Page,Page 37,37,ark:/21198/z1739df9,ark:/21198/z1dr5jn7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5jn7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_038.tif,Page,Page 38,38,ark:/21198/z1739df9,ark:/21198/z1904sz8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904sz8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_039.tif,Page,Page 39,39,ark:/21198/z1739df9,ark:/21198/z157427b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz157427b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_040.tif,Page,Page 40,40,ark:/21198/z1739df9,ark:/21198/z11g39fq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39fq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_041.tif,Page,Page 41,41,ark:/21198/z1739df9,ark:/21198/z1wq2sz1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sz1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195112_2_042.tif,Page,Page 42,42,ark:/21198/z1739df9,ark:/21198/z1rz226n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz226n
