File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_001.tif,Page,Page 1,1,ark:/21198/z1836fj7,ark:/21198/z1c850bf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c850bf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_002.tif,Page,Page 2,2,ark:/21198/z1836fj7,ark:/21198/z17h47jt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h47jt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_003.tif,Page,Page 3,3,ark:/21198/z1836fj7,ark:/21198/z13r3gvj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3gvj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_004.tif,Page,Page 4,4,ark:/21198/z1836fj7,ark:/21198/z1002r50,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002r50
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_005.tif,Page,Page 5,5,ark:/21198/z1836fj7,ark:/21198/z1v727pp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v727pp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_006.tif,Page,Page 6,6,ark:/21198/z1836fj7,ark:/21198/z1qk06b7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk06b7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_007.tif,Page,Page 7,7,ark:/21198/z1836fj7,ark:/21198/z1ks9fnd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9fnd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_008.tif,Page,Page 8,8,ark:/21198/z1836fj7,ark:/21198/z1g18pwj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18pwj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_009.tif,Page,Page 9,9,ark:/21198/z1836fj7,ark:/21198/z1b87z57,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87z57
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_010.tif,Page,Page 10,10,ark:/21198/z1836fj7,ark:/21198/z16h76gb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h76gb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_011.tif,Page,Page 11,11,ark:/21198/z1836fj7,ark:/21198/z12r6fs2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6fs2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_012.tif,Page,Page 12,12,ark:/21198/z1836fj7,ark:/21198/z1z34nqd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34nqd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_013.tif,Page,Page 13,13,ark:/21198/z1836fj7,ark:/21198/z1tb3x03,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3x03
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_014.tif,Page,Page 14,14,ark:/21198/z1836fj7,ark:/21198/z1pk358r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk358r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_015.tif,Page,Page 15,15,ark:/21198/z1836fj7,ark:/21198/z1jt2dg4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2dg4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_016.tif,Page,Page 16,16,ark:/21198/z1836fj7,ark:/21198/z1f21nq8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21nq8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_017.tif,Page,Page 17,17,ark:/21198/z1836fj7,ark:/21198/z1990x2v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990x2v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_018.tif,Page,Page 18,18,ark:/21198/z1836fj7,ark:/21198/z15j05bh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15j05bh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_019.tif,Page,Page 19,19,ark:/21198/z1836fj7,ark:/21198/z11v840h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v840h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_020.tif,Page,Page 20,20,ark:/21198/z1836fj7,ark:/21198/z1x37mjk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37mjk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_021.tif,Page,Page 21,21,ark:/21198/z1836fj7,ark:/21198/z1sb6vtv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vtv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_022.tif,Page,Page 22,22,ark:/21198/z1836fj7,ark:/21198/z1nk643x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk643x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_023.tif,Page,Page 23,23,ark:/21198/z1836fj7,ark:/21198/z1ht5cbr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5cbr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_024.tif,Page,Page 24,24,ark:/21198/z1836fj7,ark:/21198/z1d24mns,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24mns
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_025.tif,Page,Page 25,25,ark:/21198/z1836fj7,ark:/21198/z1893vzh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893vzh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_026.tif,Page,Page 26,26,ark:/21198/z1836fj7,ark:/21198/z14n1tnh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1tnh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_027.tif,Page,Page 27,27,ark:/21198/z1836fj7,ark:/21198/z10w12wq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12wq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_028.tif,Page,Page 28,28,ark:/21198/z1836fj7,ark:/21198/z1w40kf6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40kf6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_029.tif,Page,Page 29,29,ark:/21198/z1836fj7,ark:/21198/z1rb9tn1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb9tn1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195104_030.tif,Page,Page 30,30,ark:/21198/z1836fj7,ark:/21198/z1mk92xp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk92xp
