File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_001.tif,Page,Page 1,1,ark:/21198/z186550d,ark:/21198/z11575sz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11575sz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_002.tif,Page,Page 2,2,ark:/21198/z186550d,ark:/21198/z1wd6p9p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6p9p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_003.tif,Page,Page 3,3,ark:/21198/z186550d,ark:/21198/z1rn5xkz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5xkz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_004.tif,Page,Page 4,4,ark:/21198/z186550d,ark:/21198/z1n03w7t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03w7t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_005.tif,Page,Page 5,5,ark:/21198/z186550d,ark:/21198/z1h734g1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h734g1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_006.tif,Page,Page 6,6,ark:/21198/z186550d,ark:/21198/z1cg2csr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2csr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_007.tif,Page,Page 7,7,ark:/21198/z186550d,ark:/21198/z17q1n4b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1n4b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_008.tif,Page,Page 8,8,ark:/21198/z186550d,ark:/21198/z13z0wc5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z0wc5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_009.tif,Page,Page 9,9,ark:/21198/z186550d,ark:/21198/z10604pk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10604pk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331014_010.tif,Page,Page 10,10,ark:/21198/z186550d,ark:/21198/z1vd9n59,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9n59
