File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_001.tif,Page,Page 1,1,ark:/21198/z18d2jrr,ark:/21198/z1gf3h8n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3h8n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_002.tif,Page,Page 2,2,ark:/21198/z18d2jrr,ark:/21198/z1bp2rmt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2rmt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_003.tif,Page,Page 3,3,ark:/21198/z18d2jrr,ark:/21198/z16x20tk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x20tk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_004.tif,Page,Page 4,4,ark:/21198/z18d2jrr,ark:/21198/z135183k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz135183k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_005.tif,Page,Page 5,5,ark:/21198/z18d2jrr,ark:/21198/z1zd0rnb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0rnb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_006.tif,Page,Page 6,6,ark:/21198/z18d2jrr,ark:/21198/z1tn00wj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn00wj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_007.tif,Page,Page 7,7,ark:/21198/z18d2jrr,ark:/21198/z1pv985p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv985p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_008.tif,Page,Page 8,8,ark:/21198/z18d2jrr,ark:/21198/z1k676w1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k676w1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_009.tif,Page,Page 9,9,ark:/21198/z18d2jrr,ark:/21198/z1ff6g5q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6g5q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_010.tif,Page,Page 10,10,ark:/21198/z18d2jrr,ark:/21198/z19p5qdj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5qdj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n07_011.tif,Page,Page 11,11,ark:/21198/z18d2jrr,ark:/21198/z15x4zpt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4zpt
