File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_001.tif,Page,Page 1,1,ark:/21198/z196263b,ark:/21198/z1q842t8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q842t8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_002.tif,Page,Page 2,2,ark:/21198/z196263b,ark:/21198/z1kh3b12,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3b12
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_003.tif,Page,Page 3,3,ark:/21198/z196263b,ark:/21198/z1fr2k9b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2k9b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_004.tif,Page,Page 4,4,ark:/21198/z196263b,ark:/21198/z1b01tjg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01tjg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_005.tif,Page,Page 5,5,ark:/21198/z196263b,ark:/21198/z1699s7x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699s7x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_006.tif,Page,Page 6,6,ark:/21198/z196263b,ark:/21198/z12j91hk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j91hk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_007.tif,Page,Page 7,7,ark:/21198/z196263b,ark:/21198/z1xs8j36,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8j36
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_008.tif,Page,Page 8,8,ark:/21198/z196263b,ark:/21198/z1t17scs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17scs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_009.tif,Page,Page 9,9,ark:/21198/z196263b,ark:/21198/z1p871m0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p871m0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_010.tif,Page,Page 10,10,ark:/21198/z196263b,ark:/21198/z1jh68vt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh68vt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_011.tif,Page,Page 11,11,ark:/21198/z196263b,ark:/21198/z1dr5j4h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5j4h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330805_012.tif,Page,Page 12,12,ark:/21198/z196263b,ark:/21198/z1933gvv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933gvv
