File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_001.tif,Page,Page 1,1,ark:/21198/z19w341w,ark:/21198/z1vt4gc5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4gc5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_002.tif,Page,Page 2,2,ark:/21198/z19w341w,ark:/21198/z1r52f11,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52f11
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_003.tif,Page,Page 3,3,ark:/21198/z19w341w,ark:/21198/z1md1pbr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1pbr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_004.tif,Page,Page 4,4,ark:/21198/z19w341w,ark:/21198/z1gn0xj4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0xj4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_005.tif,Page,Page 5,5,ark:/21198/z19w341w,ark:/21198/z1bw05v7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw05v7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_006.tif,Page,Page 6,6,ark:/21198/z19w341w,ark:/21198/z1739f54,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739f54
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_007.tif,Page,Page 7,7,ark:/21198/z19w341w,ark:/21198/z13b8pdz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8pdz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_008.tif,Page,Page 8,8,ark:/21198/z19w341w,ark:/21198/z1zk85z3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85z3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_009.tif,Page,Page 9,9,ark:/21198/z19w341w,ark:/21198/z1tx64n3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx64n3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_010.tif,Page,Page 10,10,ark:/21198/z19w341w,ark:/21198/z1q55cw7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55cw7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_011.tif,Page,Page 11,11,ark:/21198/z19w341w,ark:/21198/z1kd4n4g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4n4g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_012.tif,Page,Page 12,12,ark:/21198/z19w341w,ark:/21198/z1fn3wdr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3wdr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_013.tif,Page,Page 13,13,ark:/21198/z19w341w,ark:/21198/z19w34r9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w34r9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_014.tif,Page,Page 14,14,ark:/21198/z19w341w,ark:/21198/z1642cz0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642cz0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_015.tif,Page,Page 15,15,ark:/21198/z19w341w,ark:/21198/z12c1n9k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1n9k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_016.tif,Page,Page 16,16,ark:/21198/z19w341w,ark:/21198/z1xp9v6m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9v6m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_017.tif,Page,Page 17,17,ark:/21198/z19w341w,ark:/21198/z1sx93g8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx93g8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_018.tif,Page,Page 18,18,ark:/21198/z19w341w,ark:/21198/z1p58bqd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58bqd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_019.tif,Page,Page 19,19,ark:/21198/z19w341w,ark:/21198/z1jd7m03,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7m03
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_020.tif,Page,Page 20,20,ark:/21198/z19w341w,ark:/21198/z1dn6v8c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6v8c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_021.tif,Page,Page 21,21,ark:/21198/z19w341w,ark:/21198/z18w63j1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w63j1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_022.tif,Page,Page 22,22,ark:/21198/z19w341w,ark:/21198/z1545bv2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bv2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_023.tif,Page,Page 23,23,ark:/21198/z19w341w,ark:/21198/z11g39hm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39hm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_024.tif,Page,Page 24,24,ark:/21198/z19w341w,ark:/21198/z1wq2t2s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2t2s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_025.tif,Page,Page 25,25,ark:/21198/z19w341w,ark:/21198/z1rz228j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz228j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_026.tif,Page,Page 26,26,ark:/21198/z19w341w,ark:/21198/z1n619m1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n619m1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_027.tif,Page,Page 27,27,ark:/21198/z19w341w,ark:/21198/z1hf0jxr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0jxr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_028.tif,Page,Page 28,28,ark:/21198/z19w341w,ark:/21198/z1cn9t6w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9t6w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_029.tif,Page,Page 29,29,ark:/21198/z19w341w,ark:/21198/z17w92gj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w92gj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_030.tif,Page,Page 30,30,ark:/21198/z19w341w,ark:/21198/z147714d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147714d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_031.tif,Page,Page 31,31,ark:/21198/z19w341w,ark:/21198/z10g68dp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g68dp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_032.tif,Page,Page 32,32,ark:/21198/z19w341w,ark:/21198/z1vq5rv3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rv3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_033.tif,Page,Page 33,33,ark:/21198/z19w341w,ark:/21198/z1qz515m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz515m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_034.tif,Page,Page 34,34,ark:/21198/z19w341w,ark:/21198/z1m648h3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m648h3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_035.tif,Page,Page 35,35,ark:/21198/z19w341w,ark:/21198/z1gf3hrx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3hrx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_036.tif,Page,Page 36,36,ark:/21198/z19w341w,ark:/21198/z1bp2s3h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2s3h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_037.tif,Page,Page 37,37,ark:/21198/z19w341w,ark:/21198/z1710qp2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710qp2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_038.tif,Page,Page 38,38,ark:/21198/z19w341w,ark:/21198/z1379zzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zzs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_039.tif,Page,Page 39,39,ark:/21198/z19w341w,ark:/21198/z1zg9gff,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9gff
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195206_040.tif,Page,Page 40,40,ark:/21198/z19w341w,ark:/21198/z1tq8qsm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8qsm
