File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_001.tif,Page,Page 1,1,ark:/21198/z1b5978m,ark:/21198/z1z9223m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z9223m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_002.tif,Page,Page 2,2,ark:/21198/z1b5978m,ark:/21198/z1tj1990,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj1990
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_003.tif,Page,Page 3,3,ark:/21198/z1b5978m,ark:/21198/z1ps0jk8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0jk8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_004.tif,Page,Page 4,4,ark:/21198/z1b5978m,ark:/21198/z1k09szn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09szn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_005.tif,Page,Page 5,5,ark:/21198/z1b5978m,ark:/21198/z1fb7rj9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7rj9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_006.tif,Page,Page 6,6,ark:/21198/z1b5978m,ark:/21198/z19k70wv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k70wv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_007.tif,Page,Page 7,7,ark:/21198/z1b5978m,ark:/21198/z15t685j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t685j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_008.tif,Page,Page 8,8,ark:/21198/z1b5978m,ark:/21198/z1225hdp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hdp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_009.tif,Page,Page 9,9,ark:/21198/z1b5978m,ark:/21198/z1x950xc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x950xc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330603_010.tif,Page,Page 10,10,ark:/21198/z1b5978m,ark:/21198/z1sj4862,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj4862
