File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_001.tif,Page,Page 1,1,ark:/21198/z1bw054t,ark:/21198/z1jt2dj1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2dj1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_002.tif,Page,Page 2,2,ark:/21198/z1bw054t,ark:/21198/z1f21ntm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21ntm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_003.tif,Page,Page 3,3,ark:/21198/z1bw054t,ark:/21198/z19c9mh2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9mh2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_004.tif,Page,Page 4,4,ark:/21198/z1bw054t,ark:/21198/z15m8vts,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vts
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_005.tif,Page,Page 5,5,ark:/21198/z1bw054t,ark:/21198/z11v8449,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v8449
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_006.tif,Page,Page 6,6,ark:/21198/z1bw054t,ark:/21198/z1x37mnx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37mnx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_007.tif,Page,Page 7,7,ark:/21198/z1bw054t,ark:/21198/z1sb6vwr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vwr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_008.tif,Page,Page 8,8,ark:/21198/z1bw054t,ark:/21198/z1nk645t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk645t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_009.tif,Page,Page 9,9,ark:/21198/z1bw054t,ark:/21198/z1ht5cf3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5cf3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_010.tif,Page,Page 10,10,ark:/21198/z1bw054t,ark:/21198/z1d53b2h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53b2h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_011.tif,Page,Page 11,11,ark:/21198/z1bw054t,ark:/21198/z18d2kdp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2kdp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_012.tif,Page,Page 12,12,ark:/21198/z1bw054t,ark:/21198/z14n1trv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1trv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_013.tif,Page,Page 13,13,ark:/21198/z1bw054t,ark:/21198/z10w12zm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12zm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_014.tif,Page,Page 14,14,ark:/21198/z1bw054t,ark:/21198/z1w40kh3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40kh3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_015.tif,Page,Page 15,15,ark:/21198/z1bw054t,ark:/21198/z1rb9tqx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb9tqx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_016.tif,Page,Page 16,16,ark:/21198/z1bw054t,ark:/21198/z1mk931f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk931f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_017.tif,Page,Page 17,17,ark:/21198/z1bw054t,ark:/21198/z1gx71pk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx71pk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_018.tif,Page,Page 18,18,ark:/21198/z1bw054t,ark:/21198/z1c56901,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c56901
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195111_019.tif,Page,Page 19,19,ark:/21198/z1bw054t,ark:/21198/z17d5jb6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5jb6
