File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_001.tif,Page,Page 1,1,ark:/21198/z1c568b3,ark:/21198/z15b2r16,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2r16
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_002.tif,Page,Page 2,2,ark:/21198/z1c568b3,ark:/21198/z11k20d6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k20d6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_003.tif,Page,Page 3,3,ark:/21198/z1c568b3,ark:/21198/z1wx069s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx069s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_004.tif,Page,Page 4,4,ark:/21198/z1c568b3,ark:/21198/z1s49fnq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fnq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_005.tif,Page,Page 5,5,ark:/21198/z1c568b3,ark:/21198/z1nc8pwj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8pwj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_006.tif,Page,Page 6,6,ark:/21198/z1c568b3,ark:/21198/z1hm7z3b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7z3b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_007.tif,Page,Page 7,7,ark:/21198/z1c568b3,ark:/21198/z1cv76bj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv76bj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_008.tif,Page,Page 8,8,ark:/21198/z1c568b3,ark:/21198/z1836fm4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836fm4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_009.tif,Page,Page 9,9,ark:/21198/z1c568b3,ark:/21198/z14b5pz9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5pz9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_010.tif,Page,Page 10,10,ark:/21198/z1c568b3,ark:/21198/z10p3nmv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3nmv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_011.tif,Page,Page 11,11,ark:/21198/z1c568b3,ark:/21198/z1vx356v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx356v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_012.tif,Page,Page 12,12,ark:/21198/z1c568b3,ark:/21198/z1r52ddj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52ddj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_013.tif,Page,Page 13,13,ark:/21198/z1c568b3,ark:/21198/z1md1npt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1npt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_014.tif,Page,Page 14,14,ark:/21198/z1c568b3,ark:/21198/z1gn0ww6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0ww6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_015.tif,Page,Page 15,15,ark:/21198/z1c568b3,ark:/21198/z1bw056q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw056q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_016.tif,Page,Page 16,16,ark:/21198/z1c568b3,ark:/21198/z1739djn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739djn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_017.tif,Page,Page 17,17,ark:/21198/z1c568b3,ark:/21198/z13f7c7n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7c7n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330408_018.tif,Page,Page 18,18,ark:/21198/z1c568b3,ark:/21198/z1zp6vrz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6vrz
