File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_001.tif,Page,Page 1,1,ark:/21198/z1cv768n,ark:/21198/z11g39bc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39bc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_002.tif,Page,Page 2,2,ark:/21198/z1cv768n,ark:/21198/z1wq2svp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2svp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_003.tif,Page,Page 3,3,ark:/21198/z1cv768n,ark:/21198/z1rz222v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz222v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_004.tif,Page,Page 4,4,ark:/21198/z1cv768n,ark:/21198/z1n619db,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n619db
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_005.tif,Page,Page 5,5,ark:/21198/z1cv768n,ark:/21198/z1hf0jq2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0jq2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_006.tif,Page,Page 6,6,ark:/21198/z1cv768n,ark:/21198/z1cn9t06,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9t06
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_007.tif,Page,Page 7,7,ark:/21198/z1cv768n,ark:/21198/z1807rp3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807rp3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_008.tif,Page,Page 8,8,ark:/21198/z1cv768n,ark:/21198/z14770zr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770zr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_009.tif,Page,Page 9,9,ark:/21198/z1cv768n,ark:/21198/z10g6860,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g6860
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195103_010.tif,Page,Page 10,10,ark:/21198/z1cv768n,ark:/21198/z1vq5rnd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rnd
