File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_001.tif,Page,Page 1,1,ark:/21198/z1d539f1,ark:/21198/z14770nq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770nq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_002.tif,Page,Page 2,2,ark:/21198/z1d539f1,ark:/21198/z10g67x0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g67x0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_003.tif,Page,Page 3,3,ark:/21198/z1d539f1,ark:/21198/z1vt4fwg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4fwg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_004.tif,Page,Page 4,4,ark:/21198/z1d539f1,ark:/21198/z1r23q5g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23q5g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_005.tif,Page,Page 5,5,ark:/21198/z1d539f1,ark:/21198/z1m92zcv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zcv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_006.tif,Page,Page 6,6,ark:/21198/z1d539f1,ark:/21198/z1gj26qd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26qd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_007.tif,Page,Page 7,7,ark:/21198/z1d539f1,ark:/21198/z1bs1fxs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1fxs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_008.tif,Page,Page 8,8,ark:/21198/z1d539f1,ark:/21198/z1710q77,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710q77
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_009.tif,Page,Page 9,9,ark:/21198/z1d539f1,ark:/21198/z13b8nx8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8nx8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_010.tif,Page,Page 10,10,ark:/21198/z1d539f1,ark:/21198/z1zk85gt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85gt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_011.tif,Page,Page 11,11,ark:/21198/z1d539f1,ark:/21198/z1tt7dqn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dqn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_012.tif,Page,Page 12,12,ark:/21198/z1d539f1,ark:/21198/z1q26p0n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26p0n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_013.tif,Page,Page 13,13,ark:/21198/z1d539f1,ark:/21198/z1k95x9c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95x9c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_014.tif,Page,Page 14,14,ark:/21198/z1d539f1,ark:/21198/z1fj55k1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj55k1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_015.tif,Page,Page 15,15,ark:/21198/z1d539f1,ark:/21198/z19s4dtv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4dtv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_016.tif,Page,Page 16,16,ark:/21198/z1d539f1,ark:/21198/z1642cgq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642cgq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_017.tif,Page,Page 17,17,ark:/21198/z1d539f1,ark:/21198/z12c1mtw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1mtw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_018.tif,Page,Page 18,18,ark:/21198/z1d539f1,ark:/21198/z1xm149j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm149j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_019.tif,Page,Page 19,19,ark:/21198/z1d539f1,ark:/21198/z1sv0cjc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0cjc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_020.tif,Page,Page 20,20,ark:/21198/z1d539f1,ark:/21198/z1p29mw9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29mw9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_021.tif,Page,Page 21,21,ark:/21198/z1d539f1,ark:/21198/z1j98w50,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98w50
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_022.tif,Page,Page 22,22,ark:/21198/z1d539f1,ark:/21198/z1dj84fn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj84fn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_023.tif,Page,Page 23,23,ark:/21198/z1d539f1,ark:/21198/z18w6336,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w6336
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_024.tif,Page,Page 24,24,ark:/21198/z1d539f1,ark:/21198/z1545bd7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bd7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n06_025.tif,Page,Page 25,25,ark:/21198/z1d539f1,ark:/21198/z11c4kn2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4kn2
