File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_001.tif,Page,Page 1,1,ark:/21198/z1dz2xvd,ark:/21198/z1c568hb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c568hb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_002.tif,Page,Page 2,2,ark:/21198/z1dz2xvd,ark:/21198/z17d5hvh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5hvh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_003.tif,Page,Page 3,3,ark:/21198/z1dz2xvd,ark:/21198/z13n4s3r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n4s3r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_004.tif,Page,Page 4,4,ark:/21198/z1dz2xvd,ark:/21198/z1zw48mf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw48mf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_005.tif,Page,Page 5,5,ark:/21198/z1dz2xvd,ark:/21198/z1v43hvk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43hvk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_006.tif,Page,Page 6,6,ark:/21198/z1dz2xvd,ark:/21198/z1qc2s5q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2s5q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_007.tif,Page,Page 7,7,ark:/21198/z1dz2xvd,ark:/21198/z1kq0qsd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0qsd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_008.tif,Page,Page 8,8,ark:/21198/z1dz2xvd,ark:/21198/z1fz005t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz005t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_009.tif,Page,Page 9,9,ark:/21198/z1dz2xvd,ark:/21198/z1b597fv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b597fv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_010.tif,Page,Page 10,10,ark:/21198/z1dz2xvd,ark:/21198/z16d8gq4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d8gq4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_011.tif,Page,Page 11,11,ark:/21198/z1dz2xvd,ark:/21198/z12n7qzz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7qzz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_012.tif,Page,Page 12,12,ark:/21198/z1dz2xvd,ark:/21198/z1xw77g2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw77g2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330729_013.tif,Page,Page 13,13,ark:/21198/z1dz2xvd,ark:/21198/z1t7564x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t7564x
