File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_001.tif,Page,Page 1,1,ark:/21198/z1fn3vpx,ark:/21198/z1cg2d9w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2d9w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_002.tif,Page,Page 2,2,ark:/21198/z1fn3vpx,ark:/21198/z17q1nn2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1nn2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_003.tif,Page,Page 3,3,ark:/21198/z1fn3vpx,ark:/21198/z13z0www,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z0www
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_004.tif,Page,Page 4,4,ark:/21198/z1fn3vpx,ark:/21198/z106056q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz106056q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_005.tif,Page,Page 5,5,ark:/21198/z1fn3vpx,ark:/21198/z1vh8c3r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh8c3r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_006.tif,Page,Page 6,6,ark:/21198/z1fn3vpx,ark:/21198/z1qr7mc1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7mc1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_007.tif,Page,Page 7,7,ark:/21198/z1fn3vpx,ark:/21198/z1m06vnm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m06vnm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_008.tif,Page,Page 8,8,ark:/21198/z1fn3vpx,ark:/21198/z1g763x8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g763x8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_009.tif,Page,Page 9,9,ark:/21198/z1fn3vpx,ark:/21198/z1bg5c7d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5c7d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195205_010.tif,Page,Page 10,10,ark:/21198/z1fn3vpx,ark:/21198/z16q4mfs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4mfs
