File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_001.tif,Page,Page 1,1,ark:/21198/z1fv18jd,ark:/21198/z1tj19j4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19j4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_002.tif,Page,Page 2,2,ark:/21198/z1fv18jd,ark:/21198/z1ps0jsz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0jsz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_003.tif,Page,Page 3,3,ark:/21198/z1fv18jd,ark:/21198/z1k09t5r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09t5r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_004.tif,Page,Page 4,4,ark:/21198/z1fv18jd,ark:/21198/z1fb7rr0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7rr0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_005.tif,Page,Page 5,5,ark:/21198/z1fv18jd,ark:/21198/z19k713z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k713z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_006.tif,Page,Page 6,6,ark:/21198/z1fv18jd,ark:/21198/z15t68dp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t68dp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_007.tif,Page,Page 7,7,ark:/21198/z1fv18jd,ark:/21198/z1225hnt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hnt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_008.tif,Page,Page 8,8,ark:/21198/z1fv18jd,ark:/21198/z1x9515x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x9515x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_009.tif,Page,Page 9,9,ark:/21198/z1fv18jd,ark:/21198/z1sj48dr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj48dr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_010.tif,Page,Page 10,10,ark:/21198/z1fv18jd,ark:/21198/z1ns3hsc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3hsc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_011.tif,Page,Page 11,11,ark:/21198/z1fv18jd,ark:/21198/z1j41gcb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41gcb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_012.tif,Page,Page 12,12,ark:/21198/z1fv18jd,ark:/21198/z1dc0qrz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0qrz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_013.tif,Page,Page 13,13,ark:/21198/z1fv18jd,ark:/21198/z18k9zzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9zzs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_014.tif,Page,Page 14,14,ark:/21198/z1fv18jd,ark:/21198/z14t9789,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t9789
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_015.tif,Page,Page 15,15,ark:/21198/z1fv18jd,ark:/21198/z1128gg0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gg0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_016.tif,Page,Page 16,16,ark:/21198/z1fv18jd,ark:/21198/z1w98003,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w98003
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_017.tif,Page,Page 17,17,ark:/21198/z1fv18jd,ark:/21198/z1rj77b8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj77b8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_018.tif,Page,Page 18,18,ark:/21198/z1fv18jd,ark:/21198/z1mw560t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw560t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_019.tif,Page,Page 19,19,ark:/21198/z1fv18jd,ark:/21198/z1h44fcr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44fcr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_020.tif,Page,Page 20,20,ark:/21198/z1fv18jd,ark:/21198/z1cc3pmk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3pmk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_021.tif,Page,Page 21,21,ark:/21198/z1fv18jd,ark:/21198/z17m2xvd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2xvd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_022.tif,Page,Page 22,22,ark:/21198/z1fv18jd,ark:/21198/z13v262k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v262k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_023.tif,Page,Page 23,23,ark:/21198/z1fv18jd,ark:/21198/z1031fb5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031fb5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_segunda_024.tif,Page,Page 24,24,ark:/21198/z1fv18jd,ark:/21198/z1vb0xzt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0xzt
