File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_001.tif,Page,Page 1,1,ark:/21198/z1fz000k,ark:/21198/z1m647zh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m647zh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_002.tif,Page,Page 2,2,ark:/21198/z1fz000k,ark:/21198/z1gf3h59,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3h59
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_003.tif,Page,Page 3,3,ark:/21198/z1fz000k,ark:/21198/z1bp2rg1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2rg1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_004.tif,Page,Page 4,4,ark:/21198/z1fz000k,ark:/21198/z16x20ps,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x20ps
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_005.tif,Page,Page 5,5,ark:/21198/z1fz000k,ark:/21198/z1351807,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1351807
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_006.tif,Page,Page 6,6,ark:/21198/z1fz000k,ark:/21198/z1zg9fvd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9fvd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_007.tif,Page,Page 7,7,ark:/21198/z1fz000k,ark:/21198/z1tq8q7f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8q7f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_008.tif,Page,Page 8,8,ark:/21198/z1fz000k,ark:/21198/z1pz7zhq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7zhq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_009.tif,Page,Page 9,9,ark:/21198/z1fz000k,ark:/21198/z1k676sp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k676sp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_010.tif,Page,Page 10,10,ark:/21198/z1fz000k,ark:/21198/z1ff6g1x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6g1x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_011.tif,Page,Page 11,11,ark:/21198/z1fz000k,ark:/21198/z19p5q8r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5q8r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_012.tif,Page,Page 12,12,ark:/21198/z1fz000k,ark:/21198/z15x4zkg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4zkg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_013.tif,Page,Page 13,13,ark:/21198/z1fz000k,ark:/21198/z1282x6w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282x6w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_014.tif,Page,Page 14,14,ark:/21198/z1fz000k,ark:/21198/z1xh2dtx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2dtx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_015.tif,Page,Page 15,15,ark:/21198/z1fz000k,ark:/21198/z1sr1p3m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1p3m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_016.tif,Page,Page 16,16,ark:/21198/z1fz000k,ark:/21198/z1p00xbr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00xbr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_017.tif,Page,Page 17,17,ark:/21198/z1fz000k,ark:/21198/z1j705kz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j705kz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_018.tif,Page,Page 18,18,ark:/21198/z1fz000k,ark:/21198/z1df9dt7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9dt7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330527_019.tif,Page,Page 19,19,ark:/21198/z1fz000k,ark:/21198/z18p8p5t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8p5t
