File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_001.tif,Page,Page 1,1,ark:/21198/z1hq6nfr,ark:/21198/z1b01tkx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01tkx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_002.tif,Page,Page 2,2,ark:/21198/z1hq6nfr,ark:/21198/z16712xg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16712xg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_003.tif,Page,Page 3,3,ark:/21198/z1hq6nfr,ark:/21198/z12g0b65,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12g0b65
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_004.tif,Page,Page 4,4,ark:/21198/z1hq6nfr,ark:/21198/z1xp9tpg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9tpg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_005.tif,Page,Page 5,5,ark:/21198/z1hq6nfr,ark:/21198/z1sx92xp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx92xp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_006.tif,Page,Page 6,6,ark:/21198/z1hq6nfr,ark:/21198/z1p58b6p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58b6p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_007.tif,Page,Page 7,7,ark:/21198/z1hq6nfr,ark:/21198/z1jh68w8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh68w8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_008.tif,Page,Page 8,8,ark:/21198/z1hq6nfr,ark:/21198/z1dr5j5z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5j5z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_009.tif,Page,Page 9,9,ark:/21198/z1hq6nfr,ark:/21198/z1904sg0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904sg0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_010.tif,Page,Page 10,10,ark:/21198/z1hq6nfr,ark:/21198/z15741rn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15741rn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_011.tif,Page,Page 11,11,ark:/21198/z1hq6nfr,ark:/21198/z11g38z1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g38z1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_012.tif,Page,Page 12,12,ark:/21198/z1hq6nfr,ark:/21198/z1wq2sh6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sh6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_013.tif,Page,Page 13,13,ark:/21198/z1hq6nfr,ark:/21198/z1rz21rd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz21rd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_014.tif,Page,Page 14,14,ark:/21198/z1hq6nfr,ark:/21198/z1n900fq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n900fq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_015.tif,Page,Page 15,15,ark:/21198/z1hq6nfr,ark:/21198/z1hh97qf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh97qf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_016.tif,Page,Page 16,16,ark:/21198/z1hq6nfr,ark:/21198/z1cr8h21,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8h21
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_017.tif,Page,Page 17,17,ark:/21198/z1hq6nfr,ark:/21198/z1807rbm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807rbm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_018.tif,Page,Page 18,18,ark:/21198/z1hq6nfr,ark:/21198/z14770kt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770kt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_019.tif,Page,Page 19,19,ark:/21198/z1hq6nfr,ark:/21198/z10g67v3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g67v3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_020.tif,Page,Page 20,20,ark:/21198/z1hq6nfr,ark:/21198/z1vq5rbc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rbc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_021.tif,Page,Page 21,21,ark:/21198/z1hq6nfr,ark:/21198/z1r23q3k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23q3k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_022.tif,Page,Page 22,22,ark:/21198/z1hq6nfr,ark:/21198/z1m92zbd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zbd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_023.tif,Page,Page 23,23,ark:/21198/z1hq6nfr,ark:/21198/z1gj26pz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26pz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_024.tif,Page,Page 24,24,ark:/21198/z1hq6nfr,ark:/21198/z1bs1fwb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1fwb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_025.tif,Page,Page 25,25,ark:/21198/z1hq6nfr,ark:/21198/z1710q5b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710q5b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_026.tif,Page,Page 26,26,ark:/21198/z1hq6nfr,ark:/21198/z1379zf2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zf2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_027.tif,Page,Page 27,27,ark:/21198/z1hq6nfr,ark:/21198/z1zk85dx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85dx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_028.tif,Page,Page 28,28,ark:/21198/z1hq6nfr,ark:/21198/z1tt7dnr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dnr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_029.tif,Page,Page 29,29,ark:/21198/z1hq6nfr,ark:/21198/z1q26nzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26nzs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_030.tif,Page,Page 30,30,ark:/21198/z1hq6nfr,ark:/21198/z1k95x8x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95x8x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_031.tif,Page,Page 31,31,ark:/21198/z1hq6nfr,ark:/21198/z1fj55jk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj55jk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_032.tif,Page,Page 32,32,ark:/21198/z1hq6nfr,ark:/21198/z19s4drz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4drz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_033.tif,Page,Page 33,33,ark:/21198/z1hq6nfr,ark:/21198/z1613p2d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613p2d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330930_034.tif,Page,Page 34,34,ark:/21198/z1hq6nfr,ark:/21198/z12c1mr0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1mr0
