File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_001.tif,Page,Page 1,1,ark:/21198/z1hx427b,ark:/21198/z1s49fr2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fr2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_002.tif,Page,Page 2,2,ark:/21198/z1hx427b,ark:/21198/z1nc8q09,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8q09
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_003.tif,Page,Page 3,3,ark:/21198/z1hx427b,ark:/21198/z1hm7z74,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7z74
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_004.tif,Page,Page 4,4,ark:/21198/z1hx427b,ark:/21198/z1cz5wz5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5wz5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_005.tif,Page,Page 5,5,ark:/21198/z1hx427b,ark:/21198/z186557j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186557j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_006.tif,Page,Page 6,6,ark:/21198/z1hx427b,ark:/21198/z14f4dfx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4dfx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_007.tif,Page,Page 7,7,ark:/21198/z1hx427b,ark:/21198/z10p3nrn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3nrn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_008.tif,Page,Page 8,8,ark:/21198/z1hx427b,ark:/21198/z1vx3596,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx3596
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_009.tif,Page,Page 9,9,ark:/21198/z1hx427b,ark:/21198/z1r52dhw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52dhw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_010.tif,Page,Page 10,10,ark:/21198/z1hx427b,ark:/21198/z1md1ntm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1ntm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_011.tif,Page,Page 11,11,ark:/21198/z1hx427b,ark:/21198/z1gq9mjh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mjh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_012.tif,Page,Page 12,12,ark:/21198/z1hx427b,ark:/21198/z1bz8vts,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8vts
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_013.tif,Page,Page 13,13,ark:/21198/z1hx427b,ark:/21198/z176842q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz176842q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n05_014.tif,Page,Page 14,14,ark:/21198/z1hx427b,ark:/21198/z13f7ccf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7ccf
