File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_001.tif,Page,Page 1,1,ark:/21198/z1jd7k9q,ark:/21198/z1tq8qt2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8qt2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_002.tif,Page,Page 2,2,ark:/21198/z1jd7k9q,ark:/21198/z1pz804k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz804k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_003.tif,Page,Page 3,3,ark:/21198/z1jd7k9q,ark:/21198/z1k95xt3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95xt3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_004.tif,Page,Page 4,4,ark:/21198/z1jd7k9q,ark:/21198/z1fj564m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj564m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_005.tif,Page,Page 5,5,ark:/21198/z1jd7k9q,ark:/21198/z19s4fcf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4fcf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_006.tif,Page,Page 6,6,ark:/21198/z1jd7k9q,ark:/21198/z1613pn1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613pn1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_007.tif,Page,Page 7,7,ark:/21198/z1jd7k9q,ark:/21198/z1282xvd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282xvd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_008.tif,Page,Page 8,8,ark:/21198/z1jd7k9q,ark:/21198/z1xh2ffd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2ffd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_009.tif,Page,Page 9,9,ark:/21198/z1jd7k9q,ark:/21198/z1sr1pr4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1pr4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195212_010.tif,Page,Page 10,10,ark:/21198/z1jd7k9q,ark:/21198/z1p29ndf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29ndf
