File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_001.tif,Page,Page 1,1,ark:/21198/z1kd4mdn,ark:/21198/z1jm50v5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm50v5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_002.tif,Page,Page 2,2,ark:/21198/z1kd4mdn,ark:/21198/z1dv484v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv484v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_003.tif,Page,Page 3,3,ark:/21198/z1kd4mdn,ark:/21198/z1933hdf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933hdf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_004.tif,Page,Page 4,4,ark:/21198/z1kd4mdn,ark:/21198/z15f1g3f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1g3f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_005.tif,Page,Page 5,5,ark:/21198/z1kd4mdn,ark:/21198/z11p0qb8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0qb8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_006.tif,Page,Page 6,6,ark:/21198/z1kd4mdn,ark:/21198/z1wx06wd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06wd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_007.tif,Page,Page 7,7,ark:/21198/z1kd4mdn,ark:/21198/z1s49g69,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49g69
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_008.tif,Page,Page 8,8,ark:/21198/z1kd4mdn,ark:/21198/z1nc8qf4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8qf4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_009.tif,Page,Page 9,9,ark:/21198/z1kd4mdn,ark:/21198/z1hm7zpz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7zpz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_010.tif,Page,Page 10,10,ark:/21198/z1kd4mdn,ark:/21198/z1cz5xdd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5xdd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_011.tif,Page,Page 11,11,ark:/21198/z1kd4mdn,ark:/21198/z18655pc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18655pc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_012.tif,Page,Page 12,12,ark:/21198/z1kd4mdn,ark:/21198/z14f4dx6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4dx6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195204_013.tif,Page,Page 13,13,ark:/21198/z1kd4mdn,ark:/21198/z10p3p7b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3p7b
