File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_001.tif,Page,Page 1,1,ark:/21198/z1kh39wv,ark:/21198/z1s49fvd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fvd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_002.tif,Page,Page 2,2,ark:/21198/z1kh39wv,ark:/21198/z1ng7dgh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng7dgh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_003.tif,Page,Page 3,3,ark:/21198/z1kh39wv,ark:/21198/z1hq6ntp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6ntp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_004.tif,Page,Page 4,4,ark:/21198/z1kh39wv,ark:/21198/z1cz5x2x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5x2x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_005.tif,Page,Page 5,5,ark:/21198/z1kh39wv,ark:/21198/z186559f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186559f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_006.tif,Page,Page 6,6,ark:/21198/z1kh39wv,ark:/21198/z14f4dht,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4dht
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_007.tif,Page,Page 7,7,ark:/21198/z1kh39wv,ark:/21198/z10p3ntj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3ntj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_008.tif,Page,Page 8,8,ark:/21198/z1kh39wv,ark:/21198/z1vx35dj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx35dj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_009.tif,Page,Page 9,9,ark:/21198/z1kh39wv,ark:/21198/z1r8142d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8142d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_010.tif,Page,Page 10,10,ark:/21198/z1kh39wv,ark:/21198/z1mh0cc4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0cc4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_011.tif,Page,Page 11,11,ark:/21198/z1kh39wv,ark:/21198/z1gq9mnv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mnv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_012.tif,Page,Page 12,12,ark:/21198/z1kh39wv,ark:/21198/z1bz8vwp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8vwp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_013.tif,Page,Page 13,13,ark:/21198/z1kh39wv,ark:/21198/z176844m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz176844m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_014.tif,Page,Page 14,14,ark:/21198/z1kh39wv,ark:/21198/z13f7cfb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7cfb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_015.tif,Page,Page 15,15,ark:/21198/z1kh39wv,ark:/21198/z1zp6vzn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6vzn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_016.tif,Page,Page 16,16,ark:/21198/z1kh39wv,ark:/21198/z1v14tnz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14tnz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_017.tif,Page,Page 17,17,ark:/21198/z1kh39wv,ark:/21198/z1q8430x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q8430x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_018.tif,Page,Page 18,18,ark:/21198/z1kh39wv,ark:/21198/z1kh3b69,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3b69
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194912_019.tif,Page,Page 19,19,ark:/21198/z1kh39wv,ark:/21198/z1fr2kgk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2kgk
