File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_001.tif,Page,Page 1,1,ark:/21198/z1kq0qnm,ark:/21198/z1836fnk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836fnk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_002.tif,Page,Page 2,2,ark:/21198/z1kq0qnm,ark:/21198/z14b5q05,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5q05
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_003.tif,Page,Page 3,3,ark:/21198/z1kq0qnm,ark:/21198/z10k4z8f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k4z8f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_004.tif,Page,Page 4,4,ark:/21198/z1kq0qnm,ark:/21198/z1vt4fs4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4fs4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_005.tif,Page,Page 5,5,ark:/21198/z1kq0qnm,ark:/21198/z1r23q1p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23q1p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_006.tif,Page,Page 6,6,ark:/21198/z1kq0qnm,ark:/21198/z1m92z72,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92z72
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_007.tif,Page,Page 7,7,ark:/21198/z1kq0qnm,ark:/21198/z1gj26m2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26m2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_008.tif,Page,Page 8,8,ark:/21198/z1kq0qnm,ark:/21198/z1bw0575,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw0575
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_009.tif,Page,Page 9,9,ark:/21198/z1kq0qnm,ark:/21198/z1739dk3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739dk3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_010.tif,Page,Page 10,10,ark:/21198/z1kq0qnm,ark:/21198/z13b8ntx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8ntx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_011.tif,Page,Page 11,11,ark:/21198/z1kq0qnm,ark:/21198/z1zk85b1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85b1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_012.tif,Page,Page 12,12,ark:/21198/z1kq0qnm,ark:/21198/z1tt7djd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7djd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_013.tif,Page,Page 13,13,ark:/21198/z1kq0qnm,ark:/21198/z1q26nvf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26nvf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_014.tif,Page,Page 14,14,ark:/21198/z1kq0qnm,ark:/21198/z1k95x61,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95x61
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_015.tif,Page,Page 15,15,ark:/21198/z1kq0qnm,ark:/21198/z1fn3vs8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3vs8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_016.tif,Page,Page 16,16,ark:/21198/z1kq0qnm,ark:/21198/z19w345p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w345p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_017.tif,Page,Page 17,17,ark:/21198/z1kq0qnm,ark:/21198/z1642ccc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642ccc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_018.tif,Page,Page 18,18,ark:/21198/z1kq0qnm,ark:/21198/z12c1mp3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1mp3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_019.tif,Page,Page 19,19,ark:/21198/z1kq0qnm,ark:/21198/z1xm1449,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm1449
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_020.tif,Page,Page 20,20,ark:/21198/z1kq0qnm,ark:/21198/z1sv0cdk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0cdk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_021.tif,Page,Page 21,21,ark:/21198/z1kq0qnm,ark:/21198/z1p29msz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29msz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_022.tif,Page,Page 22,22,ark:/21198/z1kq0qnm,ark:/21198/z1jd7kd2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7kd2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_023.tif,Page,Page 23,23,ark:/21198/z1kq0qnm,ark:/21198/z1dn6tqs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6tqs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_024.tif,Page,Page 24,24,ark:/21198/z1kq0qnm,ark:/21198/z18w630v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w630v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_025.tif,Page,Page 25,25,ark:/21198/z1kq0qnm,ark:/21198/z1545b8f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545b8f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_026.tif,Page,Page 26,26,ark:/21198/z1kq0qnm,ark:/21198/z11c4kh8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4kh8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_027.tif,Page,Page 27,27,ark:/21198/z1kq0qnm,ark:/21198/z1wm432t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm432t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_028.tif,Page,Page 28,28,ark:/21198/z1kq0qnm,ark:/21198/z1rz21n2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz21n2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330520_029.tif,Page,Page 29,29,ark:/21198/z1kq0qnm,ark:/21198/z1n6191d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6191d
