File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_001.tif,Page,Page 1,1,ark:/21198/z1md1nmx,ark:/21198/z1h44fmw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44fmw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_002.tif,Page,Page 2,2,ark:/21198/z1md1nmx,ark:/21198/z1cc3pvq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3pvq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_003.tif,Page,Page 3,3,ark:/21198/z1md1nmx,ark:/21198/z17m2z3z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2z3z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_004.tif,Page,Page 4,4,ark:/21198/z1md1nmx,ark:/21198/z13v269q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v269q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_005.tif,Page,Page 5,5,ark:/21198/z1md1nmx,ark:/21198/z1031fk9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031fk9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_006.tif,Page,Page 6,6,ark:/21198/z1md1nmx,ark:/21198/z1vb0z6c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0z6c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_007.tif,Page,Page 7,7,ark:/21198/z1md1nmx,ark:/21198/z1qn8wvz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8wvz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_008.tif,Page,Page 8,8,ark:/21198/z1md1nmx,ark:/21198/z1kw855g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw855g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_009.tif,Page,Page 9,9,ark:/21198/z1md1nmx,ark:/21198/z1g47df2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47df2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_010.tif,Page,Page 10,10,ark:/21198/z1md1nmx,ark:/21198/z1bc6nnf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6nnf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_011.tif,Page,Page 11,11,ark:/21198/z1md1nmx,ark:/21198/z16m5ww8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5ww8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_012.tif,Page,Page 12,12,ark:/21198/z1md1nmx,ark:/21198/z12v556s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v556s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_013.tif,Page,Page 13,13,ark:/21198/z1md1nmx,ark:/21198/z1z34ntr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34ntr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_014.tif,Page,Page 14,14,ark:/21198/z1md1nmx,ark:/21198/z1tf2mdd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2mdd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_015.tif,Page,Page 15,15,ark:/21198/z1md1nmx,ark:/21198/z1pp1vs1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1vs1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_016.tif,Page,Page 16,16,ark:/21198/z1md1nmx,ark:/21198/z1jx141n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx141n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_017.tif,Page,Page 17,17,ark:/21198/z1md1nmx,ark:/21198/z1f50c8s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50c8s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_018.tif,Page,Page 18,18,ark:/21198/z1md1nmx,ark:/21198/z19c9mgm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9mgm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_019.tif,Page,Page 19,19,ark:/21198/z1md1nmx,ark:/21198/z15m8vsb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vsb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_020.tif,Page,Page 20,20,ark:/21198/z1md1nmx,ark:/21198/z11v843v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v843v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_021.tif,Page,Page 21,21,ark:/21198/z1md1nmx,ark:/21198/z1x66b16,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x66b16
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_022.tif,Page,Page 22,22,ark:/21198/z1md1nmx,ark:/21198/z1sf5kbx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5kbx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_023.tif,Page,Page 23,23,ark:/21198/z1md1nmx,ark:/21198/z1np4tj9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4tj9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_024.tif,Page,Page 24,24,ark:/21198/z1md1nmx,ark:/21198/z1hx42tz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42tz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_025.tif,Page,Page 25,25,ark:/21198/z1md1nmx,ark:/21198/z1d53b12,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53b12
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_026.tif,Page,Page 26,26,ark:/21198/z1md1nmx,ark:/21198/z18d2kc7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2kc7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_027.tif,Page,Page 27,27,ark:/21198/z1md1nmx,ark:/21198/z14r0j1s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0j1s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_028.tif,Page,Page 28,28,ark:/21198/z1md1nmx,ark:/21198/z10z9sdv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9sdv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_029.tif,Page,Page 29,29,ark:/21198/z1md1nmx,ark:/21198/z1w698xv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698xv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_030.tif,Page,Page 30,30,ark:/21198/z1md1nmx,ark:/21198/z1rf8j6j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8j6j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_031.tif,Page,Page 31,31,ark:/21198/z1md1nmx,ark:/21198/z1mp7sdx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7sdx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_032.tif,Page,Page 32,32,ark:/21198/z1md1nmx,ark:/21198/z1gx71n4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx71n4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195109_033.tif,Page,Page 33,33,ark:/21198/z1md1nmx,ark:/21198/z1c568z5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c568z5
