File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_001.tif,Page,Page 1,1,ark:/21198/z1mh0c1n,ark:/21198/z1ck138c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck138c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_002.tif,Page,Page 2,2,ark:/21198/z1mh0c1n,ark:/21198/z17t0bh6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bh6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_003.tif,Page,Page 3,3,ark:/21198/z1mh0c1n,ark:/21198/z1419kv4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419kv4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_004.tif,Page,Page 4,4,ark:/21198/z1mh0c1n,ark:/21198/z1088v3c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088v3c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_005.tif,Page,Page 5,5,ark:/21198/z1mh0c1n,ark:/21198/z1vh8bpz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh8bpz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_006.tif,Page,Page 6,6,ark:/21198/z1mh0c1n,ark:/21198/z1qv69bh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv69bh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_007.tif,Page,Page 7,7,ark:/21198/z1mh0c1n,ark:/21198/z1m35jkn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35jkn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_008.tif,Page,Page 8,8,ark:/21198/z1mh0c1n,ark:/21198/z1gb4svx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4svx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_009.tif,Page,Page 9,9,ark:/21198/z1mh0c1n,ark:/21198/z1bk423j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk423j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194904_010.tif,Page,Page 10,10,ark:/21198/z1mh0c1n,ark:/21198/z16t39fq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t39fq
