File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_001.tif,Page,Page 1,1,ark:/21198/z1mp7rtw,ark:/21198/z1g47czc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47czc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_002.tif,Page,Page 2,2,ark:/21198/z1mp7rtw,ark:/21198/z1bc6n55,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6n55
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_003.tif,Page,Page 3,3,ark:/21198/z1mp7rtw,ark:/21198/z16m5wd0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5wd0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_004.tif,Page,Page 4,4,ark:/21198/z1mp7rtw,ark:/21198/z12v54pn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v54pn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_005.tif,Page,Page 5,5,ark:/21198/z1mp7rtw,ark:/21198/z1z34n91,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34n91
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_006.tif,Page,Page 6,6,ark:/21198/z1mp7rtw,ark:/21198/z1tf2kxq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2kxq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_007.tif,Page,Page 7,7,ark:/21198/z1mp7rtw,ark:/21198/z1pp1v9r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1v9r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_008.tif,Page,Page 8,8,ark:/21198/z1mp7rtw,ark:/21198/z1jx13jz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx13jz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_009.tif,Page,Page 9,9,ark:/21198/z1mp7rtw,ark:/21198/z1f50bs3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50bs3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_010.tif,Page,Page 10,10,ark:/21198/z1mp7rtw,ark:/21198/z19c9m0b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9m0b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_011.tif,Page,Page 11,11,ark:/21198/z1mp7rtw,ark:/21198/z15m8v8m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8v8m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_012.tif,Page,Page 12,12,ark:/21198/z1mp7rtw,ark:/21198/z11v83kq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v83kq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_013.tif,Page,Page 13,13,ark:/21198/z1mp7rtw,ark:/21198/z1x669jh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669jh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_014.tif,Page,Page 14,14,ark:/21198/z1mp7rtw,ark:/21198/z1sf5jv7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5jv7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_015.tif,Page,Page 15,15,ark:/21198/z1mp7rtw,ark:/21198/z1np4t21,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4t21
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_016.tif,Page,Page 16,16,ark:/21198/z1mp7rtw,ark:/21198/z1hx4297,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx4297
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_017.tif,Page,Page 17,17,ark:/21198/z1mp7rtw,ark:/21198/z1d539hx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539hx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_018.tif,Page,Page 18,18,ark:/21198/z1mp7rtw,ark:/21198/z18d2jtn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2jtn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_019.tif,Page,Page 19,19,ark:/21198/z1mp7rtw,ark:/21198/z14n1t6p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1t6p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_020.tif,Page,Page 20,20,ark:/21198/z1mp7rtw,ark:/21198/z10z9rwq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9rwq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_021.tif,Page,Page 21,21,ark:/21198/z1mp7rtw,ark:/21198/z1w698d4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698d4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_022.tif,Page,Page 22,22,ark:/21198/z1mp7rtw,ark:/21198/z1rf8hpd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8hpd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_023.tif,Page,Page 23,23,ark:/21198/z1mp7rtw,ark:/21198/z1mp7rws,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7rws
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_024.tif,Page,Page 24,24,ark:/21198/z1mp7rtw,ark:/21198/z1gx714d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx714d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_025.tif,Page,Page 25,25,ark:/21198/z1mp7rtw,ark:/21198/z1c568d0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c568d0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_026.tif,Page,Page 26,26,ark:/21198/z1mp7rtw,ark:/21198/z17d5hsm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5hsm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_027.tif,Page,Page 27,27,ark:/21198/z1mp7rtw,ark:/21198/z13r3gf5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3gf5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_028.tif,Page,Page 28,28,ark:/21198/z1mp7rtw,ark:/21198/z1002qr6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002qr6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_029.tif,Page,Page 29,29,ark:/21198/z1mp7rtw,ark:/21198/z1v7277v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v7277v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_030.tif,Page,Page 30,30,ark:/21198/z1mp7rtw,ark:/21198/z1qg1gh4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg1gh4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_031.tif,Page,Page 31,31,ark:/21198/z1mp7rtw,ark:/21198/z1kq0qqh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0qqh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_032.tif,Page,Page 32,32,ark:/21198/z1mp7rtw,ark:/21198/z1fz002g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz002g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_033.tif,Page,Page 33,33,ark:/21198/z1mp7rtw,ark:/21198/z1b597cz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b597cz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_034.tif,Page,Page 34,34,ark:/21198/z1mp7rtw,ark:/21198/z16h761h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h761h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_035.tif,Page,Page 35,35,ark:/21198/z1mp7rtw,ark:/21198/z12r6fb7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6fb7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330325_036.tif,Page,Page 36,36,ark:/21198/z1mp7rtw,ark:/21198/z1z05xsz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05xsz
