File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_001.tif,Page,Page 1,1,ark:/21198/z1nc8ps6,ark:/21198/z1vt4g5g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4g5g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_002.tif,Page,Page 2,2,ark:/21198/z1nc8ps6,ark:/21198/z1r23qdm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23qdm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_003.tif,Page,Page 3,3,ark:/21198/z1nc8ps6,ark:/21198/z1m92zm0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zm0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_004.tif,Page,Page 4,4,ark:/21198/z1nc8ps6,ark:/21198/z1gj26zj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26zj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_005.tif,Page,Page 5,5,ark:/21198/z1nc8ps6,ark:/21198/z1bs1g5b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1g5b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_006.tif,Page,Page 6,6,ark:/21198/z1nc8ps6,ark:/21198/z1710qgc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710qgc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_007.tif,Page,Page 7,7,ark:/21198/z1nc8ps6,ark:/21198/z13b8p68,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8p68
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_008.tif,Page,Page 8,8,ark:/21198/z1nc8ps6,ark:/21198/z1zk85rd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85rd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_009.tif,Page,Page 9,9,ark:/21198/z1nc8ps6,ark:/21198/z1tt7dzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dzs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195101_010.tif,Page,Page 10,10,ark:/21198/z1nc8ps6,ark:/21198/z1q26p7s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26p7s
