File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_001.tif,Page,Page 1,1,ark:/21198/z1ng7d41,ark:/21198/z1zw48nw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw48nw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_002.tif,Page,Page 2,2,ark:/21198/z1ng7d41,ark:/21198/z1v43hw1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43hw1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_003.tif,Page,Page 3,3,ark:/21198/z1ng7d41,ark:/21198/z1qc2s65,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2s65
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_004.tif,Page,Page 4,4,ark:/21198/z1ng7d41,ark:/21198/z1km21jq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km21jq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_005.tif,Page,Page 5,5,ark:/21198/z1ng7d41,ark:/21198/z1fv18r3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv18r3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_006.tif,Page,Page 6,6,ark:/21198/z1ng7d41,ark:/21198/z1b30j13,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30j13
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_007.tif,Page,Page 7,7,ark:/21198/z1ng7d41,ark:/21198/z1699s8c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699s8c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_008.tif,Page,Page 8,8,ark:/21198/z1ng7d41,ark:/21198/z12n7r0t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7r0t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_009.tif,Page,Page 9,9,ark:/21198/z1ng7d41,ark:/21198/z1xw77hh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw77hh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_010.tif,Page,Page 10,10,ark:/21198/z1ng7d41,ark:/21198/z1t46gs3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46gs3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_011.tif,Page,Page 11,11,ark:/21198/z1ng7d41,ark:/21198/z1pc5r37,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc5r37
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_012.tif,Page,Page 12,12,ark:/21198/z1ng7d41,ark:/21198/z1jm50cw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm50cw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_013.tif,Page,Page 13,13,ark:/21198/z1ng7d41,ark:/21198/z1dv47mq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv47mq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_014.tif,Page,Page 14,14,ark:/21198/z1ng7d41,ark:/21198/z1933gw9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933gw9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_015.tif,Page,Page 15,15,ark:/21198/z1ng7d41,ark:/21198/z15f1fmr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1fmr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_016.tif,Page,Page 16,16,ark:/21198/z1ng7d41,ark:/21198/z11p0pvk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0pvk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_017.tif,Page,Page 17,17,ark:/21198/z1ng7d41,ark:/21198/z1wx06d4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06d4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_018.tif,Page,Page 18,18,ark:/21198/z1ng7d41,ark:/21198/z1s49fqm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fqm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_019.tif,Page,Page 19,19,ark:/21198/z1ng7d41,ark:/21198/z1nc8pzf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8pzf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_020.tif,Page,Page 20,20,ark:/21198/z1ng7d41,ark:/21198/z1hm7z57,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7z57
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_021.tif,Page,Page 21,21,ark:/21198/z1ng7d41,ark:/21198/z1cv76fw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv76fw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_022.tif,Page,Page 22,22,ark:/21198/z1ng7d41,ark:/21198/z186555n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186555n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_023.tif,Page,Page 23,23,ark:/21198/z1ng7d41,ark:/21198/z14f4ddg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4ddg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_024.tif,Page,Page 24,24,ark:/21198/z1ng7d41,ark:/21198/z10p3nq6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3nq6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_025.tif,Page,Page 25,25,ark:/21198/z1ng7d41,ark:/21198/z1vx358r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx358r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_026.tif,Page,Page 26,26,ark:/21198/z1ng7d41,ark:/21198/z1r52dgf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52dgf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_027.tif,Page,Page 27,27,ark:/21198/z1ng7d41,ark:/21198/z1md1nrq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1nrq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_028.tif,Page,Page 28,28,ark:/21198/z1ng7d41,ark:/21198/z1gn0x0z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0x0z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_029.tif,Page,Page 29,29,ark:/21198/z1ng7d41,ark:/21198/z1bz8vrw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8vrw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_030.tif,Page,Page 30,30,ark:/21198/z1ng7d41,ark:/21198/z1768418,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1768418
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_031.tif,Page,Page 31,31,ark:/21198/z1ng7d41,ark:/21198/z13f7cb0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7cb0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330923_032.tif,Page,Page 32,32,ark:/21198/z1ng7d41,ark:/21198/z1zp6vtv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6vtv
