File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_001.tif,Page,Page 1,1,ark:/21198/z1np4sz8,ark:/21198/z1f21nd7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21nd7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_002.tif,Page,Page 2,2,ark:/21198/z1np4sz8,ark:/21198/z1990wrd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990wrd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_003.tif,Page,Page 3,3,ark:/21198/z1np4sz8,ark:/21198/z15j0501,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15j0501
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_004.tif,Page,Page 4,4,ark:/21198/z1np4sz8,ark:/21198/z11r9d96,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r9d96
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_005.tif,Page,Page 5,5,ark:/21198/z1np4sz8,ark:/21198/z1x08wtt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x08wtt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_006.tif,Page,Page 6,6,ark:/21198/z1np4sz8,ark:/21198/z1sb6vgc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vgc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_007.tif,Page,Page 7,7,ark:/21198/z1np4sz8,ark:/21198/z1nk63sg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk63sg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_008.tif,Page,Page 8,8,ark:/21198/z1np4sz8,ark:/21198/z1ht5c25,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5c25
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_009.tif,Page,Page 9,9,ark:/21198/z1np4sz8,ark:/21198/z1d24mc6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24mc6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_010.tif,Page,Page 10,10,ark:/21198/z1np4sz8,ark:/21198/z1893vng,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893vng
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_011.tif,Page,Page 11,11,ark:/21198/z1np4sz8,ark:/21198/z14j33x4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j33x4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_012.tif,Page,Page 12,12,ark:/21198/z1np4sz8,ark:/21198/z10w12j7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12j7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_013.tif,Page,Page 13,13,ark:/21198/z1np4sz8,ark:/21198/z1w40k45,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40k45
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n04_014.tif,Page,Page 14,14,ark:/21198/z1np4sz8,ark:/21198/z1rb9tcf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb9tcf
