File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_001.tif,Page,Page 1,1,ark:/21198/z1p58b1f,ark:/21198/z1hm7zrv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7zrv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_002.tif,Page,Page 2,2,ark:/21198/z1p58b1f,ark:/21198/z1cv770g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv770g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_003.tif,Page,Page 3,3,ark:/21198/z1p58b1f,ark:/21198/z1836g82,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836g82
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_004.tif,Page,Page 4,4,ark:/21198/z1p58b1f,ark:/21198/z14b5qks,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5qks
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_005.tif,Page,Page 5,5,ark:/21198/z1p58b1f,ark:/21198/z10k4zwh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k4zwh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_006.tif,Page,Page 6,6,ark:/21198/z1p58b1f,ark:/21198/z1vx35vc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx35vc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_007.tif,Page,Page 7,7,ark:/21198/z1p58b1f,ark:/21198/z1r52f3x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52f3x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_008.tif,Page,Page 8,8,ark:/21198/z1p58b1f,ark:/21198/z1md1pc6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1pc6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_009.tif,Page,Page 9,9,ark:/21198/z1p58b1f,ark:/21198/z1gn0xkk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0xkk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195211_010.tif,Page,Page 10,10,ark:/21198/z1p58b1f,ark:/21198/z1bw05wp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw05wp
