File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_001.tif,Page,Page 1,1,ark:/21198/z1p871g6,ark:/21198/z1p58bdc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58bdc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_002.tif,Page,Page 2,2,ark:/21198/z1p871g6,ark:/21198/z1jh693c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh693c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_003.tif,Page,Page 3,3,ark:/21198/z1p871g6,ark:/21198/z1dr5jcn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5jcn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_004.tif,Page,Page 4,4,ark:/21198/z1p871g6,ark:/21198/z1904sq4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904sq4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_005.tif,Page,Page 5,5,ark:/21198/z1p871g6,ark:/21198/z1574206,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1574206
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_006.tif,Page,Page 6,6,ark:/21198/z1p871g6,ark:/21198/z11g396k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g396k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_007.tif,Page,Page 7,7,ark:/21198/z1p871g6,ark:/21198/z1wq2sqw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sqw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_008.tif,Page,Page 8,8,ark:/21198/z1p871g6,ark:/21198/z1rz21z3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz21z3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_009.tif,Page,Page 9,9,ark:/21198/z1p871g6,ark:/21198/z1n900nd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n900nd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_010.tif,Page,Page 10,10,ark:/21198/z1p871g6,ark:/21198/z1hh97x4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh97x4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_011.tif,Page,Page 11,11,ark:/21198/z1p871g6,ark:/21198/z1cr8h95,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8h95
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_012.tif,Page,Page 12,12,ark:/21198/z1p871g6,ark:/21198/z1807rkr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807rkr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_013.tif,Page,Page 13,13,ark:/21198/z1p871g6,ark:/21198/z14770tz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770tz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_014.tif,Page,Page 14,14,ark:/21198/z1p871g6,ark:/21198/z10g6826,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g6826
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_015.tif,Page,Page 15,15,ark:/21198/z1p871g6,ark:/21198/z1vq5rj2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rj2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_016.tif,Page,Page 16,16,ark:/21198/z1p871g6,ark:/21198/z1r23q98,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23q98
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_017.tif,Page,Page 17,17,ark:/21198/z1p871g6,ark:/21198/z1m92zj3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zj3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_018.tif,Page,Page 18,18,ark:/21198/z1p871g6,ark:/21198/z1gj26wn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj26wn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_019.tif,Page,Page 19,19,ark:/21198/z1p871g6,ark:/21198/z1bs1g3f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1g3f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_020.tif,Page,Page 20,20,ark:/21198/z1p871g6,ark:/21198/z1710qc1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710qc1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_021.tif,Page,Page 21,21,ark:/21198/z1p871g6,ark:/21198/z1379zm9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zm9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_022.tif,Page,Page 22,22,ark:/21198/z1p871g6,ark:/21198/z1zg9g4d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9g4d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_023.tif,Page,Page 23,23,ark:/21198/z1p871g6,ark:/21198/z1tt7dvf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dvf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_024.tif,Page,Page 24,24,ark:/21198/z1p871g6,ark:/21198/z1q26p5w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26p5w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_025.tif,Page,Page 25,25,ark:/21198/z1p871g6,ark:/21198/z1k95xgm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95xgm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_026.tif,Page,Page 26,26,ark:/21198/z1p871g6,ark:/21198/z1fj55r8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj55r8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_027.tif,Page,Page 27,27,ark:/21198/z1p871g6,ark:/21198/z19s4dzn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4dzn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_028.tif,Page,Page 28,28,ark:/21198/z1p871g6,ark:/21198/z1613p7n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613p7n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_029.tif,Page,Page 29,29,ark:/21198/z1p871g6,ark:/21198/z1282xgg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282xgg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_030.tif,Page,Page 30,30,ark:/21198/z1p871g6,ark:/21198/z1xm14fb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm14fb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_031.tif,Page,Page 31,31,ark:/21198/z1p871g6,ark:/21198/z1sv0cqm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0cqm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_032.tif,Page,Page 32,32,ark:/21198/z1p871g6,ark:/21198/z1p29n2z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29n2z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_033.tif,Page,Page 33,33,ark:/21198/z1p871g6,ark:/21198/z1j98wb7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98wb7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_034.tif,Page,Page 34,34,ark:/21198/z1p871g6,ark:/21198/z1dj84kf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj84kf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_035.tif,Page,Page 35,35,ark:/21198/z1p871g6,ark:/21198/z18s7ct8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7ct8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_036.tif,Page,Page 36,36,ark:/21198/z1p871g6,ark:/21198/z1516n38,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516n38
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_037.tif,Page,Page 37,37,ark:/21198/z1p871g6,ark:/21198/z11c4ksv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4ksv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_038.tif,Page,Page 38,38,ark:/21198/z1p871g6,ark:/21198/z1wm43bd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm43bd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_039.tif,Page,Page 39,39,ark:/21198/z1p871g6,ark:/21198/z1rv3bpk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv3bpk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_040.tif,Page,Page 40,40,ark:/21198/z1p871g6,ark:/21198/z1n32kw8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32kw8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_041.tif,Page,Page 41,41,ark:/21198/z1p871g6,ark:/21198/z1hb1v5z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1v5z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_042.tif,Page,Page 42,42,ark:/21198/z1p871g6,ark:/21198/z1ck13cq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck13cq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_043.tif,Page,Page 43,43,ark:/21198/z1p871g6,ark:/21198/z17t0bn0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bn0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_044.tif,Page,Page 44,44,ark:/21198/z1p871g6,ark:/21198/z14489c6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14489c6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_045.tif,Page,Page 45,45,ark:/21198/z1p871g6,ark:/21198/z10c7jpx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7jpx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_046.tif,Page,Page 46,46,ark:/21198/z1p871g6,ark:/21198/z1vm7261,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm7261
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_047.tif,Page,Page 47,47,ark:/21198/z1p871g6,ark:/21198/z1qv69g9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv69g9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_048.tif,Page,Page 48,48,ark:/21198/z1p871g6,ark:/21198/z1m35jp0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35jp0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_049.tif,Page,Page 49,49,ark:/21198/z1p871g6,ark:/21198/z1gb4t04,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4t04
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_050.tif,Page,Page 50,50,ark:/21198/z1p871g6,ark:/21198/z1bk428s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk428s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_051.tif,Page,Page 51,51,ark:/21198/z1p871g6,ark:/21198/z16x20zc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x20zc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_052.tif,Page,Page 52,52,ark:/21198/z1p871g6,ark:/21198/z135188t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz135188t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_053.tif,Page,Page 53,53,ark:/21198/z1p871g6,ark:/21198/z1zd0rtk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0rtk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_054.tif,Page,Page 54,54,ark:/21198/z1p871g6,ark:/21198/z1tn0126,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn0126
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_055.tif,Page,Page 55,55,ark:/21198/z1p871g6,ark:/21198/z1pv989g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv989g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_056.tif,Page,Page 56,56,ark:/21198/z1p871g6,ark:/21198/z1k38hjm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38hjm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_057.tif,Page,Page 57,57,ark:/21198/z1p871g6,ark:/21198/z1fb7rvb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7rvb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_058.tif,Page,Page 58,58,ark:/21198/z1p871g6,ark:/21198/z19p5qjb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5qjb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_059.tif,Page,Page 59,59,ark:/21198/z1p871g6,ark:/21198/z15x4zv2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4zv2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_060.tif,Page,Page 60,60,ark:/21198/z1p871g6,ark:/21198/z125475w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz125475w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_061.tif,Page,Page 61,61,ark:/21198/z1p871g6,ark:/21198/z1xd3qm9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3qm9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195005_062.tif,Page,Page 62,62,ark:/21198/z1p871g6,ark:/21198/z1sn2zx1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2zx1
