File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_001.tif,Page,Page 1,1,ark:/21198/z1pg4f6h,ark:/21198/z1xd3qc5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3qc5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_002.tif,Page,Page 2,2,ark:/21198/z1pg4f6h,ark:/21198/z1sn2zpw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2zpw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_003.tif,Page,Page 3,3,ark:/21198/z1pg4f6h,ark:/21198/z1nw26wn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw26wn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_004.tif,Page,Page 4,4,ark:/21198/z1pg4f6h,ark:/21198/z1j41g63,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41g63
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_005.tif,Page,Page 5,5,ark:/21198/z1pg4f6h,ark:/21198/z1df9dvp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9dvp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_006.tif,Page,Page 6,6,ark:/21198/z1pg4f6h,ark:/21198/z18p8p68,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8p68
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_007.tif,Page,Page 7,7,ark:/21198/z1pg4f6h,ark:/21198/z14x7xgj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7xgj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_008.tif,Page,Page 8,8,ark:/21198/z1pg4f6h,ark:/21198/z11575rh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11575rh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_009.tif,Page,Page 9,9,ark:/21198/z1pg4f6h,ark:/21198/z1wd6p7s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6p7s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330715_010.tif,Page,Page 10,10,ark:/21198/z1pg4f6h,ark:/21198/z1rn5xh2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5xh2
