File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_001.tif,Page,Page 1,1,ark:/21198/z1q55c5t,ark:/21198/z1z922ns,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z922ns
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_002.tif,Page,Page 2,2,ark:/21198/z1q55c5t,ark:/21198/z1tj19wm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19wm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_003.tif,Page,Page 3,3,ark:/21198/z1q55c5t,ark:/21198/z1pv98mh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv98mh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_004.tif,Page,Page 4,4,ark:/21198/z1q55c5t,ark:/21198/z1k38hvn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38hvn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_005.tif,Page,Page 5,5,ark:/21198/z1q55c5t,ark:/21198/z1fb7s4b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7s4b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_006.tif,Page,Page 6,6,ark:/21198/z1q55c5t,ark:/21198/z19k71ff,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k71ff
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_007.tif,Page,Page 7,7,ark:/21198/z1q55c5t,ark:/21198/z15t68qq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t68qq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_008.tif,Page,Page 8,8,ark:/21198/z1q55c5t,ark:/21198/z1225hzv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hzv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_009.tif,Page,Page 9,9,ark:/21198/z1q55c5t,ark:/21198/z1x951hd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x951hd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_010.tif,Page,Page 10,10,ark:/21198/z1q55c5t,ark:/21198/z1sn306d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn306d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_011.tif,Page,Page 11,11,ark:/21198/z1q55c5t,ark:/21198/z1nw27f7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw27f7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_012.tif,Page,Page 12,12,ark:/21198/z1q55c5t,ark:/21198/z1j41gqt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41gqt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_013.tif,Page,Page 13,13,ark:/21198/z1q55c5t,ark:/21198/z1dc0r2d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0r2d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_014.tif,Page,Page 14,14,ark:/21198/z1q55c5t,ark:/21198/z18m0085,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m0085
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_015.tif,Page,Page 15,15,ark:/21198/z1q55c5t,ark:/21198/z14t97kb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t97kb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_016.tif,Page,Page 16,16,ark:/21198/z1q55c5t,ark:/21198/z1128gtg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gtg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_017.tif,Page,Page 17,17,ark:/21198/z1q55c5t,ark:/21198/z1wd6psz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6psz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_018.tif,Page,Page 18,18,ark:/21198/z1q55c5t,ark:/21198/z1rn5z2n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5z2n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_019.tif,Page,Page 19,19,ark:/21198/z1q55c5t,ark:/21198/z1mw56b9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw56b9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_020.tif,Page,Page 20,20,ark:/21198/z1q55c5t,ark:/21198/z1h44fps,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44fps
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_021.tif,Page,Page 21,21,ark:/21198/z1q55c5t,ark:/21198/z1cc3pxm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3pxm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_022.tif,Page,Page 22,22,ark:/21198/z1q55c5t,ark:/21198/z17m2z5v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2z5v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_023.tif,Page,Page 23,23,ark:/21198/z1q55c5t,ark:/21198/z13v26d2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v26d2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_024.tif,Page,Page 24,24,ark:/21198/z1q55c5t,ark:/21198/z1060558,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1060558
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_025.tif,Page,Page 25,25,ark:/21198/z1q55c5t,ark:/21198/z1vd9nnk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9nnk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_026.tif,Page,Page 26,26,ark:/21198/z1q55c5t,ark:/21198/z1qn8wz9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8wz9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_027.tif,Page,Page 27,27,ark:/21198/z1q55c5t,ark:/21198/z1kw857c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw857c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_028.tif,Page,Page 28,28,ark:/21198/z1q55c5t,ark:/21198/z1g47dhz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47dhz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_029.tif,Page,Page 29,29,ark:/21198/z1q55c5t,ark:/21198/z1bc6nrs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6nrs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_030.tif,Page,Page 30,30,ark:/21198/z1q55c5t,ark:/21198/z16m5x1g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5x1g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_031.tif,Page,Page 31,31,ark:/21198/z1q55c5t,ark:/21198/z12z3vq2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3vq2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_032.tif,Page,Page 32,32,ark:/21198/z1q55c5t,ark:/21198/z1z63c61,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63c61
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_033.tif,Page,Page 33,33,ark:/21198/z1q55c5t,ark:/21198/z1tf2mhr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2mhr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_034.tif,Page,Page 34,34,ark:/21198/z1q55c5t,ark:/21198/z1pp1vvx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1vvx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_035.tif,Page,Page 35,35,ark:/21198/z1q55c5t,ark:/21198/z1jx143j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx143j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_036.tif,Page,Page 36,36,ark:/21198/z1q55c5t,ark:/21198/z1f50cc4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50cc4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_037.tif,Page,Page 37,37,ark:/21198/z1q55c5t,ark:/21198/z19c9mmd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9mmd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_038.tif,Page,Page 38,38,ark:/21198/z1q55c5t,ark:/21198/z15q7k9d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7k9d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_039.tif,Page,Page 39,39,ark:/21198/z1q55c5t,ark:/21198/z11z6tm4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6tm4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_040.tif,Page,Page 40,40,ark:/21198/z1q55c5t,ark:/21198/z1x66b4j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x66b4j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_041.tif,Page,Page 41,41,ark:/21198/z1q55c5t,ark:/21198/z1sf5kdt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5kdt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_042.tif,Page,Page 42,42,ark:/21198/z1q55c5t,ark:/21198/z1np4tm6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4tm6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_043.tif,Page,Page 43,43,ark:/21198/z1q55c5t,ark:/21198/z1hx42x9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42x9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_044.tif,Page,Page 44,44,ark:/21198/z1q55c5t,ark:/21198/z1d821n2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d821n2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_045.tif,Page,Page 45,45,ark:/21198/z1q55c5t,ark:/21198/z18h18xb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h18xb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_046.tif,Page,Page 46,46,ark:/21198/z1q55c5t,ark:/21198/z14r0j5k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0j5k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_047.tif,Page,Page 47,47,ark:/21198/z1q55c5t,ark:/21198/z10z9sh6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9sh6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_048.tif,Page,Page 48,48,ark:/21198/z1q55c5t,ark:/21198/z1w69905,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w69905
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_049.tif,Page,Page 49,49,ark:/21198/z1q55c5t,ark:/21198/z1rf8j8f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8j8f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_050.tif,Page,Page 50,50,ark:/21198/z1q55c5t,ark:/21198/z1mp7sh8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7sh8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_051.tif,Page,Page 51,51,ark:/21198/z1q55c5t,ark:/21198/z1h15r6k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15r6k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_052.tif,Page,Page 52,52,ark:/21198/z1q55c5t,ark:/21198/z1c850hp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c850hp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_053.tif,Page,Page 53,53,ark:/21198/z1q55c5t,ark:/21198/z17h47rh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h47rh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195203_054.tif,Page,Page 54,54,ark:/21198/z1q55c5t,ark:/21198/z13r3h2n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3h2n
