File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_001.tif,Page,Page 1,1,ark:/21198/z1q842n1,ark:/21198/z11z6t76,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6t76
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_002.tif,Page,Page 2,2,ark:/21198/z1q842n1,ark:/21198/z1x669r6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669r6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_003.tif,Page,Page 3,3,ark:/21198/z1q842n1,ark:/21198/z1sf5k2b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5k2b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_004.tif,Page,Page 4,4,ark:/21198/z1q842n1,ark:/21198/z1ns3hrx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3hrx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_005.tif,Page,Page 5,5,ark:/21198/z1q842n1,ark:/21198/z1j12s2c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12s2c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_006.tif,Page,Page 6,6,ark:/21198/z1q842n1,ark:/21198/z1d8219k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d8219k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_007.tif,Page,Page 7,7,ark:/21198/z1q842n1,ark:/21198/z18h18jd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h18jd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_008.tif,Page,Page 8,8,ark:/21198/z1q842n1,ark:/21198/z14r0hrs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0hrs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_009.tif,Page,Page 9,9,ark:/21198/z1q842n1,ark:/21198/z10z9s3t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9s3t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_010.tif,Page,Page 10,10,ark:/21198/z1q842n1,ark:/21198/z1w698mt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698mt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_011.tif,Page,Page 11,11,ark:/21198/z1q842n1,ark:/21198/z1rj779t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj779t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_012.tif,Page,Page 12,12,ark:/21198/z1q842n1,ark:/21198/z1ms6gn0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6gn0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_013.tif,Page,Page 13,13,ark:/21198/z1q842n1,ark:/21198/z1h15qvp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15qvp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_014.tif,Page,Page 14,14,ark:/21198/z1q842n1,ark:/21198/z1c8504r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c8504r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_015.tif,Page,Page 15,15,ark:/21198/z1q842n1,ark:/21198/z17h47b4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h47b4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_016.tif,Page,Page 16,16,ark:/21198/z1q842n1,ark:/21198/z13r3gnv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3gnv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_017.tif,Page,Page 17,17,ark:/21198/z1q842n1,ark:/21198/z1002qzw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002qzw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_018.tif,Page,Page 18,18,ark:/21198/z1q842n1,ark:/21198/z1vb0xxc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0xxc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_019.tif,Page,Page 19,19,ark:/21198/z1q842n1,ark:/21198/z1qk0650,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk0650
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_020.tif,Page,Page 20,20,ark:/21198/z1q842n1,ark:/21198/z1ks9ffq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9ffq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_021.tif,Page,Page 21,21,ark:/21198/z1q842n1,ark:/21198/z1g18pnd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18pnd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194911_022.tif,Page,Page 22,22,ark:/21198/z1q842n1,ark:/21198/z1b87xxp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87xxp
