File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_001.tif,Page,Page 1,1,ark:/21198/z1qg1gf7,ark:/21198/z1wx06b7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06b7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_002.tif,Page,Page 2,2,ark:/21198/z1qg1gf7,ark:/21198/z1s784x7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s784x7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_003.tif,Page,Page 3,3,ark:/21198/z1qg1gf7,ark:/21198/z1ng7d8t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng7d8t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_004.tif,Page,Page 4,4,ark:/21198/z1qg1gf7,ark:/21198/z1hq6nm0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6nm0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_005.tif,Page,Page 5,5,ark:/21198/z1qg1gf7,ark:/21198/z1cz5wvt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5wvt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_006.tif,Page,Page 6,6,ark:/21198/z1qg1gf7,ark:/21198/z186553r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186553r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_007.tif,Page,Page 7,7,ark:/21198/z1qg1gf7,ark:/21198/z14f4d94,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4d94
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_008.tif,Page,Page 8,8,ark:/21198/z1qg1gf7,ark:/21198/z10p3nn9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3nn9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_009.tif,Page,Page 9,9,ark:/21198/z1qg1gf7,ark:/21198/z1w11vhr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11vhr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_010.tif,Page,Page 10,10,ark:/21198/z1qg1gf7,ark:/21198/z1r813wr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r813wr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_011.tif,Page,Page 11,11,ark:/21198/z1qg1gf7,ark:/21198/z1mh0c5f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0c5f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_012.tif,Page,Page 12,12,ark:/21198/z1qg1gf7,ark:/21198/z1gq9mf5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mf5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_013.tif,Page,Page 13,13,ark:/21198/z1qg1gf7,ark:/21198/z1bz8vp0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8vp0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_014.tif,Page,Page 14,14,ark:/21198/z1qg1gf7,ark:/21198/z17683xh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17683xh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_015.tif,Page,Page 15,15,ark:/21198/z1qg1gf7,ark:/21198/z13f7c83,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7c83
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_016.tif,Page,Page 16,16,ark:/21198/z1qg1gf7,ark:/21198/z1zs5k47,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5k47
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_017.tif,Page,Page 17,17,ark:/21198/z1qg1gf7,ark:/21198/z1v14tgq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14tgq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_018.tif,Page,Page 18,18,ark:/21198/z1qg1gf7,ark:/21198/z1q842st,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q842st
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_019.tif,Page,Page 19,19,ark:/21198/z1qg1gf7,ark:/21198/z1kh3b0m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3b0m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_020.tif,Page,Page 20,20,ark:/21198/z1qg1gf7,ark:/21198/z1fr2k8w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2k8w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_021.tif,Page,Page 21,21,ark:/21198/z1qg1gf7,ark:/21198/z1b01tgk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01tgk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_022.tif,Page,Page 22,22,ark:/21198/z1qg1gf7,ark:/21198/z16712vk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16712vk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_023.tif,Page,Page 23,23,ark:/21198/z1qg1gf7,ark:/21198/z12j91fp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j91fp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_024.tif,Page,Page 24,24,ark:/21198/z1qg1gf7,ark:/21198/z1xs8j2r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8j2r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_025.tif,Page,Page 25,25,ark:/21198/z1qg1gf7,ark:/21198/z1t17sbb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17sbb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_026.tif,Page,Page 26,26,ark:/21198/z1qg1gf7,ark:/21198/z1p871kj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p871kj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330513_027.tif,Page,Page 27,27,ark:/21198/z1qg1gf7,ark:/21198/z1jh68tc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh68tc
