File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_001.tif,Page,Page 1,1,ark:/21198/z1r813rz,ark:/21198/z1vt4fxx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4fxx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_002.tif,Page,Page 2,2,ark:/21198/z1r813rz,ark:/21198/z1r52djb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52djb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_003.tif,Page,Page 3,3,ark:/21198/z1r813rz,ark:/21198/z1md1nv2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1nv2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_004.tif,Page,Page 4,4,ark:/21198/z1r813rz,ark:/21198/z1gn0x2v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0x2v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_005.tif,Page,Page 5,5,ark:/21198/z1r813rz,ark:/21198/z1bw05cz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw05cz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_006.tif,Page,Page 6,6,ark:/21198/z1r813rz,ark:/21198/z1739dpf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739dpf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_007.tif,Page,Page 7,7,ark:/21198/z1r813rz,ark:/21198/z13b8nzq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8nzq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_008.tif,Page,Page 8,8,ark:/21198/z1r813rz,ark:/21198/z1zk85h8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85h8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_009.tif,Page,Page 9,9,ark:/21198/z1r813rz,ark:/21198/z1tx645t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx645t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194903_segunda_010.tif,Page,Page 10,10,ark:/21198/z1r813rz,ark:/21198/z1q55cdz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55cdz
