File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_001.tif,Page,Page 1,1,ark:/21198/z1s20r2q,ark:/21198/z1sf5k64,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5k64
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_002.tif,Page,Page 2,2,ark:/21198/z1s20r2q,ark:/21198/z1np4tdh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4tdh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_003.tif,Page,Page 3,3,ark:/21198/z1s20r2q,ark:/21198/z1hx42qm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42qm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_004.tif,Page,Page 4,4,ark:/21198/z1s20r2q,ark:/21198/z1d821fc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d821fc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_005.tif,Page,Page 5,5,ark:/21198/z1s20r2q,ark:/21198/z18h18qn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h18qn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_006.tif,Page,Page 6,6,ark:/21198/z1s20r2q,ark:/21198/z14r0hx1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0hx1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_007.tif,Page,Page 7,7,ark:/21198/z1s20r2q,ark:/21198/z10z9s82,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9s82
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_008.tif,Page,Page 8,8,ark:/21198/z1s20r2q,ark:/21198/z1w698rm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698rm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_009.tif,Page,Page 9,9,ark:/21198/z1s20r2q,ark:/21198/z1rf8j2r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8j2r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_010.tif,Page,Page 10,10,ark:/21198/z1s20r2q,ark:/21198/z1mp7s9k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7s9k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_011.tif,Page,Page 11,11,ark:/21198/z1s20r2q,ark:/21198/z1h15r0w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15r0w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195012_012.tif,Page,Page 12,12,ark:/21198/z1s20r2q,ark:/21198/z1c85090,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c85090
