File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_001.tif,Page,Page 1,1,ark:/21198/z1sb6v8p,ark:/21198/z12z3v9p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3v9p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_002.tif,Page,Page 2,2,ark:/21198/z1sb6v8p,ark:/21198/z1z63brs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63brs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_003.tif,Page,Page 3,3,ark:/21198/z1sb6v8p,ark:/21198/z1tf2m2x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2m2x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_004.tif,Page,Page 4,4,ark:/21198/z1sb6v8p,ark:/21198/z1pp1vd3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1vd3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_005.tif,Page,Page 5,5,ark:/21198/z1sb6v8p,ark:/21198/z1jx13n9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx13n9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_006.tif,Page,Page 6,6,ark:/21198/z1sb6v8p,ark:/21198/z1f50bxw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50bxw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_007.tif,Page,Page 7,7,ark:/21198/z1sb6v8p,ark:/21198/z19g89mb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g89mb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_008.tif,Page,Page 8,8,ark:/21198/z1sb6v8p,ark:/21198/z15q7jwm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7jwm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_009.tif,Page,Page 9,9,ark:/21198/z1sb6v8p,ark:/21198/z11z6t59,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6t59
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_010.tif,Page,Page 10,10,ark:/21198/z1sb6v8p,ark:/21198/z1x669p9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669p9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_011.tif,Page,Page 11,11,ark:/21198/z1sb6v8p,ark:/21198/z1sf5jzk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5jzk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_012.tif,Page,Page 12,12,ark:/21198/z1sb6v8p,ark:/21198/z1np4t5c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4t5c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_013.tif,Page,Page 13,13,ark:/21198/z1sb6v8p,ark:/21198/z1hx42f1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42f1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_014.tif,Page,Page 14,14,ark:/21198/z1sb6v8p,ark:/21198/z1d82167,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d82167
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_015.tif,Page,Page 15,15,ark:/21198/z1sb6v8p,ark:/21198/z18h18gh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h18gh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_016.tif,Page,Page 16,16,ark:/21198/z1sb6v8p,ark:/21198/z14r0hpw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0hpw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_017.tif,Page,Page 17,17,ark:/21198/z1sb6v8p,ark:/21198/z10z9s1x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9s1x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_018.tif,Page,Page 18,18,ark:/21198/z1sb6v8p,ark:/21198/z1w698hg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698hg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_019.tif,Page,Page 19,19,ark:/21198/z1sb6v8p,ark:/21198/z1rf8hsr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8hsr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_020.tif,Page,Page 20,20,ark:/21198/z1sb6v8p,ark:/21198/z1mp7s10,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7s10
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_021.tif,Page,Page 21,21,ark:/21198/z1sb6v8p,ark:/21198/z1h15qrb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15qrb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_022.tif,Page,Page 22,22,ark:/21198/z1sb6v8p,ark:/21198/z1c8502v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c8502v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_023.tif,Page,Page 23,23,ark:/21198/z1sb6v8p,ark:/21198/z17h4787,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h4787
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_024.tif,Page,Page 24,24,ark:/21198/z1sb6v8p,ark:/21198/z13r3gkz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3gkz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_025.tif,Page,Page 25,25,ark:/21198/z1sb6v8p,ark:/21198/z1002qvj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002qvj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n03_026.tif,Page,Page 26,26,ark:/21198/z1sb6v8p,ark:/21198/z1v727b6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v727b6
