File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_001.tif,Page,Page 1,1,ark:/21198/z1t17s6j,ark:/21198/z1jx13tj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx13tj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_002.tif,Page,Page 2,2,ark:/21198/z1t17s6j,ark:/21198/z1f50c23,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50c23
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_003.tif,Page,Page 3,3,ark:/21198/z1t17s6j,ark:/21198/z19c9m8x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9m8x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_004.tif,Page,Page 4,4,ark:/21198/z1t17s6j,ark:/21198/z15m8vkn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vkn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_005.tif,Page,Page 5,5,ark:/21198/z1t17s6j,ark:/21198/z11z6t93,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6t93
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_006.tif,Page,Page 6,6,ark:/21198/z1t17s6j,ark:/21198/z1x669vj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669vj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_007.tif,Page,Page 7,7,ark:/21198/z1t17s6j,ark:/21198/z1sf5k47,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5k47
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_008.tif,Page,Page 8,8,ark:/21198/z1t17s6j,ark:/21198/z1np4tbm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4tbm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_009.tif,Page,Page 9,9,ark:/21198/z1t17s6j,ark:/21198/z1hx42kt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42kt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_010.tif,Page,Page 10,10,ark:/21198/z1t17s6j,ark:/21198/z1d539tz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539tz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_011.tif,Page,Page 11,11,ark:/21198/z1t17s6j,ark:/21198/z18d2k5j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2k5j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_012.tif,Page,Page 12,12,ark:/21198/z1t17s6j,ark:/21198/z14r0htp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0htp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_013.tif,Page,Page 13,13,ark:/21198/z1t17s6j,ark:/21198/z10z9s65,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9s65
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_014.tif,Page,Page 14,14,ark:/21198/z1t17s6j,ark:/21198/z1w698pq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698pq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_015.tif,Page,Page 15,15,ark:/21198/z1t17s6j,ark:/21198/z1rf8hz0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8hz0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_016.tif,Page,Page 16,16,ark:/21198/z1t17s6j,ark:/21198/z1mp7s5s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7s5s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195004_017.tif,Page,Page 17,17,ark:/21198/z1t17s6j,ark:/21198/z1gx71ff,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx71ff
