File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_001.tif,Page,Page 1,1,ark:/21198/z1t75604,ark:/21198/z1379zc5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zc5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_002.tif,Page,Page 2,2,ark:/21198/z1t75604,ark:/21198/z1zg9fwv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9fwv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_003.tif,Page,Page 3,3,ark:/21198/z1t75604,ark:/21198/z1tt7dkv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dkv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_004.tif,Page,Page 4,4,ark:/21198/z1t75604,ark:/21198/z1q26nww,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26nww
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_005.tif,Page,Page 5,5,ark:/21198/z1t75604,ark:/21198/z1k95x7g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95x7g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_006.tif,Page,Page 6,6,ark:/21198/z1t75604,ark:/21198/z1fj55h4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj55h4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_007.tif,Page,Page 7,7,ark:/21198/z1t75604,ark:/21198/z19s4dqh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4dqh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_008.tif,Page,Page 8,8,ark:/21198/z1t75604,ark:/21198/z1613p0h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613p0h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_009.tif,Page,Page 9,9,ark:/21198/z1t75604,ark:/21198/z1282x7b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282x7b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_010.tif,Page,Page 10,10,ark:/21198/z1t75604,ark:/21198/z1xm145r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm145r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_011.tif,Page,Page 11,11,ark:/21198/z1t75604,ark:/21198/z1sv0cf1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0cf1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_012.tif,Page,Page 12,12,ark:/21198/z1t75604,ark:/21198/z1p29mtd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29mtd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_013.tif,Page,Page 13,13,ark:/21198/z1t75604,ark:/21198/z1j98w33,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98w33
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_014.tif,Page,Page 14,14,ark:/21198/z1t75604,ark:/21198/z1dj84b9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj84b9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_015.tif,Page,Page 15,15,ark:/21198/z1t75604,ark:/21198/z18s7ck4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7ck4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_016.tif,Page,Page 16,16,ark:/21198/z1t75604,ark:/21198/z1516mvq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516mvq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_017.tif,Page,Page 17,17,ark:/21198/z1t75604,ark:/21198/z11c4kjq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4kjq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_018.tif,Page,Page 18,18,ark:/21198/z1t75604,ark:/21198/z1wm4338,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm4338
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_019.tif,Page,Page 19,19,ark:/21198/z1t75604,ark:/21198/z1rv3bff,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv3bff
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_020.tif,Page,Page 20,20,ark:/21198/z1t75604,ark:/21198/z1n32kn4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32kn4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_021.tif,Page,Page 21,21,ark:/21198/z1t75604,ark:/21198/z1hb1txd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1txd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_022.tif,Page,Page 22,22,ark:/21198/z1t75604,ark:/21198/z1ck134k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck134k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_023.tif,Page,Page 23,23,ark:/21198/z1t75604,ark:/21198/z17t0bdv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bdv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_024.tif,Page,Page 24,24,ark:/21198/z1t75604,ark:/21198/z1448942,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1448942
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330708_025.tif,Page,Page 25,25,ark:/21198/z1t75604,ark:/21198/z10c7jfs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7jfs
