File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_001.tif,Page,Page 1,1,ark:/21198/z1tx63x8,ark:/21198/z1mh0cp5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0cp5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_002.tif,Page,Page 2,2,ark:/21198/z1tx63x8,ark:/21198/z1gq9mzw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mzw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_003.tif,Page,Page 3,3,ark:/21198/z1tx63x8,ark:/21198/z1bz8w7k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8w7k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_004.tif,Page,Page 4,4,ark:/21198/z1tx63x8,ark:/21198/z17684hj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17684hj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_005.tif,Page,Page 5,5,ark:/21198/z1tx63x8,ark:/21198/z13j6353,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j6353
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_006.tif,Page,Page 6,6,ark:/21198/z1tx63x8,ark:/21198/z1zs5kpd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5kpd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_007.tif,Page,Page 7,7,ark:/21198/z1tx63x8,ark:/21198/z1v14v0v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14v0v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_008.tif,Page,Page 8,8,ark:/21198/z1tx63x8,ark:/21198/z1q8439z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q8439z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_009.tif,Page,Page 9,9,ark:/21198/z1tx63x8,ark:/21198/z1kh3bhb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3bhb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_010.tif,Page,Page 10,10,ark:/21198/z1tx63x8,ark:/21198/z1fr2kt2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2kt2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_011.tif,Page,Page 11,11,ark:/21198/z1tx63x8,ark:/21198/z1b30jhc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30jhc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_012.tif,Page,Page 12,12,ark:/21198/z1tx63x8,ark:/21198/z1699srn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699srn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_013.tif,Page,Page 13,13,ark:/21198/z1tx63x8,ark:/21198/z12j921q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j921q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_014.tif,Page,Page 14,14,ark:/21198/z1tx63x8,ark:/21198/z1xs8jmx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8jmx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195202_015.tif,Page,Page 15,15,ark:/21198/z1tx63x8,ark:/21198/z1t17swh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17swh
