File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_001.tif,Page,Page 1,1,ark:/21198/z1v14tbx,ark:/21198/z18s7crc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7crc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_002.tif,Page,Page 2,2,ark:/21198/z1v14tbx,ark:/21198/z1516n0x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516n0x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_003.tif,Page,Page 3,3,ark:/21198/z1v14tbx,ark:/21198/z1185w9n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185w9n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_004.tif,Page,Page 4,4,ark:/21198/z1v14tbx,ark:/21198/z1wh5cvs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5cvs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_005.tif,Page,Page 5,5,ark:/21198/z1v14tbx,ark:/21198/z1rv3bk7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv3bk7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_006.tif,Page,Page 6,6,ark:/21198/z1v14tbx,ark:/21198/z1n32ktc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32ktc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_007.tif,Page,Page 7,7,ark:/21198/z1v14tbx,ark:/21198/z1hb1v32,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1v32
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_008.tif,Page,Page 8,8,ark:/21198/z1v14tbx,ark:/21198/z1ck139t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck139t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_009.tif,Page,Page 9,9,ark:/21198/z1v14tbx,ark:/21198/z17t0bjn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bjn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_010.tif,Page,Page 10,10,ark:/21198/z1v14tbx,ark:/21198/z1419kwk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419kwk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_011.tif,Page,Page 11,11,ark:/21198/z1v14tbx,ark:/21198/z1088v58,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088v58
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_012.tif,Page,Page 12,12,ark:/21198/z1v14tbx,ark:/21198/z1vm723p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm723p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_194910_013.tif,Page,Page 13,13,ark:/21198/z1v14tbx,ark:/21198/z1qv69dd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv69dd
