File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_001.tif,Page,Page 1,1,ark:/21198/z1vt4fps,ark:/21198/z1gb4t5c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4t5c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_002.tif,Page,Page 2,2,ark:/21198/z1vt4fps,ark:/21198/z1bk42dk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk42dk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_003.tif,Page,Page 3,3,ark:/21198/z1vt4fps,ark:/21198/z16t39s6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t39s6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_004.tif,Page,Page 4,4,ark:/21198/z1vt4fps,ark:/21198/z13518dm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13518dm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_005.tif,Page,Page 5,5,ark:/21198/z1vt4fps,ark:/21198/z1zd0s07,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0s07
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_006.tif,Page,Page 6,6,ark:/21198/z1vt4fps,ark:/21198/z1tn018w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn018w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_007.tif,Page,Page 7,7,ark:/21198/z1vt4fps,ark:/21198/z1pv98h5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv98h5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_008.tif,Page,Page 8,8,ark:/21198/z1vt4fps,ark:/21198/z1k38hqv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38hqv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_009.tif,Page,Page 9,9,ark:/21198/z1vt4fps,ark:/21198/z1fb7s0j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7s0j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195108_010.tif,Page,Page 10,10,ark:/21198/z1vt4fps,ark:/21198/z19k71b3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k71b3
