File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_001.tif,Page,Page 1,1,ark:/21198/z1w11vdd,ark:/21198/z12j91j1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j91j1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_002.tif,Page,Page 2,2,ark:/21198/z1w11vdd,ark:/21198/z1xs8j4n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8j4n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_003.tif,Page,Page 3,3,ark:/21198/z1w11vdd,ark:/21198/z1t17sd7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17sd7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_004.tif,Page,Page 4,4,ark:/21198/z1w11vdd,ark:/21198/z1p871nf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p871nf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_005.tif,Page,Page 5,5,ark:/21198/z1w11vdd,ark:/21198/z1jh68xq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh68xq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_006.tif,Page,Page 6,6,ark:/21198/z1w11vdd,ark:/21198/z1dv47n5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv47n5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_007.tif,Page,Page 7,7,ark:/21198/z1w11vdd,ark:/21198/z1933gxr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933gxr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_008.tif,Page,Page 8,8,ark:/21198/z1w11vdd,ark:/21198/z15b2r50,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2r50
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_009.tif,Page,Page 9,9,ark:/21198/z1w11vdd,ark:/21198/z11k20hj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k20hj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_010.tif,Page,Page 10,10,ark:/21198/z1w11vdd,ark:/21198/z1wt1gzz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1gzz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_011.tif,Page,Page 11,11,ark:/21198/z1w11vdd,ark:/21198/z1s20r7z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20r7z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_012.tif,Page,Page 12,12,ark:/21198/z1w11vdd,ark:/21198/z1n900g5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n900g5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_013.tif,Page,Page 13,13,ark:/21198/z1w11vdd,ark:/21198/z1hm7z6p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7z6p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_014.tif,Page,Page 14,14,ark:/21198/z1w11vdd,ark:/21198/z1cv76gb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv76gb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_015.tif,Page,Page 15,15,ark:/21198/z1w11vdd,ark:/21198/z1836frx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836frx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_016.tif,Page,Page 16,16,ark:/21198/z1w11vdd,ark:/21198/z14b5q22,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5q22
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_017.tif,Page,Page 17,17,ark:/21198/z1w11vdd,ark:/21198/z10k4zbb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k4zbb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_018.tif,Page,Page 18,18,ark:/21198/z1w11vdd,ark:/21198/z1vt4fv1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4fv1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_019.tif,Page,Page 19,19,ark:/21198/z1w11vdd,ark:/21198/z1r23q41,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23q41
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_020.tif,Page,Page 20,20,ark:/21198/z1w11vdd,ark:/21198/z1md1ns5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1ns5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_021.tif,Page,Page 21,21,ark:/21198/z1w11vdd,ark:/21198/z1gn0x1d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0x1d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_022.tif,Page,Page 22,22,ark:/21198/z1w11vdd,ark:/21198/z1bw05bh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw05bh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_023.tif,Page,Page 23,23,ark:/21198/z1w11vdd,ark:/21198/z1739dn0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739dn0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_024.tif,Page,Page 24,24,ark:/21198/z1w11vdd,ark:/21198/z13b8nwt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8nwt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_025.tif,Page,Page 25,25,ark:/21198/z1w11vdd,ark:/21198/z1zk85fc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk85fc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_026.tif,Page,Page 26,26,ark:/21198/z1w11vdd,ark:/21198/z1tt7dp6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7dp6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_027.tif,Page,Page 27,27,ark:/21198/z1w11vdd,ark:/21198/z1q55cb2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55cb2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_028.tif,Page,Page 28,28,ark:/21198/z1w11vdd,ark:/21198/z1kd4mmb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4mmb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_029.tif,Page,Page 29,29,ark:/21198/z1w11vdd,ark:/21198/z1fn3vwm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3vwm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_030.tif,Page,Page 30,30,ark:/21198/z1w11vdd,ark:/21198/z19w347k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w347k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_031.tif,Page,Page 31,31,ark:/21198/z1w11vdd,ark:/21198/z1642cf8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642cf8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_032.tif,Page,Page 32,32,ark:/21198/z1w11vdd,ark:/21198/z12c1msf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1msf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331104_033.tif,Page,Page 33,33,ark:/21198/z1w11vdd,ark:/21198/z1xm1483,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm1483
