File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_001.tif,Page,Page 1,1,ark:/21198/z1w40jwm,ark:/21198/z1hq6nqb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6nqb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_002.tif,Page,Page 2,2,ark:/21198/z1w40jwm,ark:/21198/z1cz5x01,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5x01
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_003.tif,Page,Page 3,3,ark:/21198/z1w40jwm,ark:/21198/z1893vpx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893vpx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_004.tif,Page,Page 4,4,ark:/21198/z1w40jwm,ark:/21198/z14j33zk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j33zk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_005.tif,Page,Page 5,5,ark:/21198/z1w40jwm,ark:/21198/z10s2c6t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2c6t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_006.tif,Page,Page 6,6,ark:/21198/z1w40jwm,ark:/21198/z1w11vnj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11vnj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_007.tif,Page,Page 7,7,ark:/21198/z1w40jwm,ark:/21198/z1r8140h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8140h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_008.tif,Page,Page 8,8,ark:/21198/z1w40jwm,ark:/21198/z1mh0c8s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0c8s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_009.tif,Page,Page 9,9,ark:/21198/z1w40jwm,ark:/21198/z1gq9mkz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mkz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_010.tif,Page,Page 10,10,ark:/21198/z1w40jwm,ark:/21198/z1c27k88,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27k88
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_011.tif,Page,Page 11,11,ark:/21198/z1w40jwm,ark:/21198/z1796th3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796th3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_012.tif,Page,Page 12,12,ark:/21198/z1w40jwm,ark:/21198/z13j62sr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j62sr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_013.tif,Page,Page 13,13,ark:/21198/z1w40jwm,ark:/21198/z1zs5k81,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5k81
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_014.tif,Page,Page 14,14,ark:/21198/z1w40jwm,ark:/21198/z1v14tk2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14tk2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_015.tif,Page,Page 15,15,ark:/21198/z1w40jwm,ark:/21198/z1q842w5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q842w5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_016.tif,Page,Page 16,16,ark:/21198/z1w40jwm,ark:/21198/z1kh3b4d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3b4d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_017.tif,Page,Page 17,17,ark:/21198/z1w40jwm,ark:/21198/z1fv18t0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv18t0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_018.tif,Page,Page 18,18,ark:/21198/z1w40jwm,ark:/21198/z1b30j4f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30j4f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_019.tif,Page,Page 19,19,ark:/21198/z1w40jwm,ark:/21198/z1699sb8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699sb8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_020.tif,Page,Page 20,20,ark:/21198/z1w40jwm,ark:/21198/z12j91kg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j91kg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_021.tif,Page,Page 21,21,ark:/21198/z1w40jwm,ark:/21198/z1xs8j53,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8j53
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_022.tif,Page,Page 22,22,ark:/21198/z1w40jwm,ark:/21198/z1t17sfp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17sfp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_023.tif,Page,Page 23,23,ark:/21198/z1w40jwm,ark:/21198/z1p871qb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p871qb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_024.tif,Page,Page 24,24,ark:/21198/z1w40jwm,ark:/21198/z1jm50fs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm50fs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_025.tif,Page,Page 25,25,ark:/21198/z1w40jwm,ark:/21198/z1dv47q2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv47q2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_026.tif,Page,Page 26,26,ark:/21198/z1w40jwm,ark:/21198/z1933gz6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933gz6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_027.tif,Page,Page 27,27,ark:/21198/z1w40jwm,ark:/21198/z15b2r6f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2r6f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_028.tif,Page,Page 28,28,ark:/21198/z1w40jwm,ark:/21198/z11k20j0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k20j0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_029.tif,Page,Page 29,29,ark:/21198/z1w40jwm,ark:/21198/z1wt1h0t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1h0t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_030.tif,Page,Page 30,30,ark:/21198/z1w40jwm,ark:/21198/z1s20r9v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20r9v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n10_031.tif,Page,Page 31,31,ark:/21198/z1w40jwm,ark:/21198/z1nc8q1r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8q1r
