File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_001.tif,Page,Page 1,1,ark:/21198/z1wt1gr8,ark:/21198/z1q55cmn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55cmn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_002.tif,Page,Page 2,2,ark:/21198/z1wt1gr8,ark:/21198/z1kd4mwx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4mwx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_003.tif,Page,Page 3,3,ark:/21198/z1wt1gr8,ark:/21198/z1fn3w5m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3w5m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_004.tif,Page,Page 4,4,ark:/21198/z1wt1gr8,ark:/21198/z19w34h5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w34h5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_005.tif,Page,Page 5,5,ark:/21198/z1wt1gr8,ark:/21198/z1642cqv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642cqv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_006.tif,Page,Page 6,6,ark:/21198/z1wt1gr8,ark:/21198/z12c1n2f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1n2f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_007.tif,Page,Page 7,7,ark:/21198/z1wt1gr8,ark:/21198/z1xp9tz2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9tz2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_008.tif,Page,Page 8,8,ark:/21198/z1wt1gr8,ark:/21198/z1sx9374,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx9374
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_009.tif,Page,Page 9,9,ark:/21198/z1wt1gr8,ark:/21198/z1p58bg8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58bg8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_010.tif,Page,Page 10,10,ark:/21198/z1wt1gr8,ark:/21198/z1jd7krj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7krj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_011.tif,Page,Page 11,11,ark:/21198/z1wt1gr8,ark:/21198/z1dn6v17,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6v17
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_012.tif,Page,Page 12,12,ark:/21198/z1wt1gr8,ark:/21198/z18w639w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w639w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_013.tif,Page,Page 13,13,ark:/21198/z1wt1gr8,ark:/21198/z1545bmx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bmx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_014.tif,Page,Page 14,14,ark:/21198/z1wt1gr8,ark:/21198/z11g398g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g398g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195011_015.tif,Page,Page 15,15,ark:/21198/z1wt1gr8,ark:/21198/z1wq2st7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2st7
