File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_001.tif,Page,Page 1,1,ark:/21198/z1x08wkp,ark:/21198/z18k9zsj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9zsj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_002.tif,Page,Page 2,2,ark:/21198/z1x08wkp,ark:/21198/z14t9732,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t9732
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_003.tif,Page,Page 3,3,ark:/21198/z1x08wkp,ark:/21198/z1128gb6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gb6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_004.tif,Page,Page 4,4,ark:/21198/z1x08wkp,ark:/21198/z1wd6p87,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6p87
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_005.tif,Page,Page 5,5,ark:/21198/z1x08wkp,ark:/21198/z1rn5xjh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5xjh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_006.tif,Page,Page 6,6,ark:/21198/z1x08wkp,ark:/21198/z1mw55vm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw55vm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_007.tif,Page,Page 7,7,ark:/21198/z1x08wkp,ark:/21198/z1h44f6h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44f6h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_008.tif,Page,Page 8,8,ark:/21198/z1x08wkp,ark:/21198/z1cc3pfb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3pfb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_009.tif,Page,Page 9,9,ark:/21198/z1x08wkp,ark:/21198/z17m2xp5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2xp5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_010.tif,Page,Page 10,10,ark:/21198/z1x08wkp,ark:/21198/z13v25xc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v25xc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_011.tif,Page,Page 11,11,ark:/21198/z1x08wkp,ark:/21198/z10604n4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10604n4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_012.tif,Page,Page 12,12,ark:/21198/z1x08wkp,ark:/21198/z1vd9n4v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9n4v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_013.tif,Page,Page 13,13,ark:/21198/z1x08wkp,ark:/21198/z1qn8wg1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8wg1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_014.tif,Page,Page 14,14,ark:/21198/z1x08wkp,ark:/21198/z1kw84rp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw84rp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_015.tif,Page,Page 15,15,ark:/21198/z1x08wkp,ark:/21198/z1g47d1p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47d1p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_016.tif,Page,Page 16,16,ark:/21198/z1x08wkp,ark:/21198/z1bc6n72,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6n72
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_017.tif,Page,Page 17,17,ark:/21198/z1x08wkp,ark:/21198/z16m5whb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5whb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_018.tif,Page,Page 18,18,ark:/21198/z1x08wkp,ark:/21198/z12z3v7s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3v7s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_019.tif,Page,Page 19,19,ark:/21198/z1x08wkp,ark:/21198/z1z63bqb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63bqb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_020.tif,Page,Page 20,20,ark:/21198/z1x08wkp,ark:/21198/z1tf2m1g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2m1g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_021.tif,Page,Page 21,21,ark:/21198/z1x08wkp,ark:/21198/z1pp1vcn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1vcn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_022.tif,Page,Page 22,22,ark:/21198/z1x08wkp,ark:/21198/z1jx13mv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx13mv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_023.tif,Page,Page 23,23,ark:/21198/z1x08wkp,ark:/21198/z1f50bv0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50bv0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_024.tif,Page,Page 24,24,ark:/21198/z1x08wkp,ark:/21198/z19c9m3p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9m3p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_025.tif,Page,Page 25,25,ark:/21198/z1x08wkp,ark:/21198/z15q7jtq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7jtq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_026.tif,Page,Page 26,26,ark:/21198/z1x08wkp,ark:/21198/z11z6t4v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6t4v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_027.tif,Page,Page 27,27,ark:/21198/z1x08wkp,ark:/21198/z1x669nv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669nv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_028.tif,Page,Page 28,28,ark:/21198/z1x08wkp,ark:/21198/z1sf5jx4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5jx4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_029.tif,Page,Page 29,29,ark:/21198/z1x08wkp,ark:/21198/z1np4t4x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4t4x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_030.tif,Page,Page 30,30,ark:/21198/z1x08wkp,ark:/21198/z1hx42c4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42c4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_031.tif,Page,Page 31,31,ark:/21198/z1x08wkp,ark:/21198/z1d539m8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539m8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_032.tif,Page,Page 32,32,ark:/21198/z1x08wkp,ark:/21198/z18h18dm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h18dm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_033.tif,Page,Page 33,33,ark:/21198/z1x08wkp,ark:/21198/z14r0hnf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0hnf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_034.tif,Page,Page 34,34,ark:/21198/z1x08wkp,ark:/21198/z10z9s0g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9s0g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330909_035.tif,Page,Page 35,35,ark:/21198/z1x08wkp,ark:/21198/z1w698g1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w698g1
