File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_001.tif,Page,Page 1,1,ark:/21198/z1x37m0d,ark:/21198/z1qr7kwb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7kwb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_002.tif,Page,Page 2,2,ark:/21198/z1x37m0d,ark:/21198/z1m35jhr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35jhr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_003.tif,Page,Page 3,3,ark:/21198/z1x37m0d,ark:/21198/z1gb4stg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4stg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_004.tif,Page,Page 4,4,ark:/21198/z1x37m0d,ark:/21198/z1bk4223,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk4223
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_005.tif,Page,Page 5,5,ark:/21198/z1x37m0d,ark:/21198/z16t39d8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t39d8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_006.tif,Page,Page 6,6,ark:/21198/z1x37m0d,ark:/21198/z1322jnd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1322jnd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_007.tif,Page,Page 7,7,ark:/21198/z1x37m0d,ark:/21198/z1z9226z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z9226z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_008.tif,Page,Page 8,8,ark:/21198/z1x37m0d,ark:/21198/z1tj19fs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19fs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_009.tif,Page,Page 9,9,ark:/21198/z1x37m0d,ark:/21198/z1pv9847,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv9847
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_010.tif,Page,Page 10,10,ark:/21198/z1x37m0d,ark:/21198/z1k38hcc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38hcc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_011.tif,Page,Page 11,11,ark:/21198/z1x37m0d,ark:/21198/z1fb7rnn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7rnn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_012.tif,Page,Page 12,12,ark:/21198/z1x37m0d,ark:/21198/z19k70zr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k70zr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_013.tif,Page,Page 13,13,ark:/21198/z1x37m0d,ark:/21198/z15t687f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t687f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_014.tif,Page,Page 14,14,ark:/21198/z1x37m0d,ark:/21198/z1225hh1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225hh1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_015.tif,Page,Page 15,15,ark:/21198/z1x37m0d,ark:/21198/z1x9512k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x9512k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n02_016.tif,Page,Page 16,16,ark:/21198/z1x37m0d,ark:/21198/z1sn2zrs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2zrs
