File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_001.tif,Page,Page 1,1,ark:/21198/z1xp9th7,ark:/21198/z1j7067w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j7067w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_002.tif,Page,Page 2,2,ark:/21198/z1xp9th7,ark:/21198/z1df9fg5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9fg5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_003.tif,Page,Page 3,3,ark:/21198/z1xp9th7,ark:/21198/z18p8psw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8psw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_004.tif,Page,Page 4,4,ark:/21198/z1xp9th7,ark:/21198/z14x7z2k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7z2k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_005.tif,Page,Page 5,5,ark:/21198/z1xp9th7,ark:/21198/z11576c0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11576c0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_006.tif,Page,Page 6,6,ark:/21198/z1xp9th7,ark:/21198/z1wh5d91,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5d91
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_007.tif,Page,Page 7,7,ark:/21198/z1xp9th7,ark:/21198/z1rr4njv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4njv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_008.tif,Page,Page 8,8,ark:/21198/z1xp9th7,ark:/21198/z1n03wtf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03wtf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_009.tif,Page,Page 9,9,ark:/21198/z1xp9th7,ark:/21198/z1h7351m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h7351m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_010.tif,Page,Page 10,10,ark:/21198/z1xp9th7,ark:/21198/z1cg2dbb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2dbb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_011.tif,Page,Page 11,11,ark:/21198/z1xp9th7,ark:/21198/z17q1nph,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1nph
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_012.tif,Page,Page 12,12,ark:/21198/z1xp9th7,ark:/21198/z13z0wzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z0wzs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_013.tif,Page,Page 13,13,ark:/21198/z1xp9th7,ark:/21198/z1088vkn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088vkn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_014.tif,Page,Page 14,14,ark:/21198/z1xp9th7,ark:/21198/z1vh8c5n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh8c5n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_015.tif,Page,Page 15,15,ark:/21198/z1xp9th7,ark:/21198/z1qr7mdg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7mdg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_016.tif,Page,Page 16,16,ark:/21198/z1xp9th7,ark:/21198/z1m06vp2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m06vp2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_017.tif,Page,Page 17,17,ark:/21198/z1xp9th7,ark:/21198/z1g763zq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g763zq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_018.tif,Page,Page 18,18,ark:/21198/z1xp9th7,ark:/21198/z1bg5c8v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5c8v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_019.tif,Page,Page 19,19,ark:/21198/z1xp9th7,ark:/21198/z16q4mhp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4mhp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_020.tif,Page,Page 20,20,ark:/21198/z1xp9th7,ark:/21198/z1322k60,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1322k60
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_021.tif,Page,Page 21,21,ark:/21198/z1xp9th7,ark:/21198/z1z922r4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z922r4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_022.tif,Page,Page 22,22,ark:/21198/z1xp9th7,ark:/21198/z1tj19zh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19zh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_023.tif,Page,Page 23,23,ark:/21198/z1xp9th7,ark:/21198/z1ps0k6r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0k6r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_024.tif,Page,Page 24,24,ark:/21198/z1xp9th7,ark:/21198/z1k09tjp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09tjp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_025.tif,Page,Page 25,25,ark:/21198/z1xp9th7,ark:/21198/z1f792tb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f792tb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_026.tif,Page,Page 26,26,ark:/21198/z1xp9th7,ark:/21198/z19g8b4g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g8b4g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_027.tif,Page,Page 27,27,ark:/21198/z1xp9th7,ark:/21198/z15t68sm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t68sm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_028.tif,Page,Page 28,28,ark:/21198/z1xp9th7,ark:/21198/z1225j2m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225j2m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_029.tif,Page,Page 29,29,ark:/21198/z1xp9th7,ark:/21198/z1x951k9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x951k9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_030.tif,Page,Page 30,30,ark:/21198/z1xp9th7,ark:/21198/z1sj48t4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj48t4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_031.tif,Page,Page 31,31,ark:/21198/z1xp9th7,ark:/21198/z1ns3j5q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3j5q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_032.tif,Page,Page 32,32,ark:/21198/z1xp9th7,ark:/21198/z1j12sgr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12sgr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_033.tif,Page,Page 33,33,ark:/21198/z1xp9th7,ark:/21198/z1d821rd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d821rd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_034.tif,Page,Page 34,34,ark:/21198/z1xp9th7,ark:/21198/z18m00b2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m00b2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_035.tif,Page,Page 35,35,ark:/21198/z1xp9th7,ark:/21198/z14t97pp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t97pp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_036.tif,Page,Page 36,36,ark:/21198/z1xp9th7,ark:/21198/z1128gwc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gwc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_037.tif,Page,Page 37,37,ark:/21198/z1xp9th7,ark:/21198/z1w980dg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w980dg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_038.tif,Page,Page 38,38,ark:/21198/z1xp9th7,ark:/21198/z1rj77q6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj77q6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_039.tif,Page,Page 39,39,ark:/21198/z1xp9th7,ark:/21198/z1ms6h2s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6h2s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_040.tif,Page,Page 40,40,ark:/21198/z1xp9th7,ark:/21198/z1h15r9x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15r9x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_041.tif,Page,Page 41,41,ark:/21198/z1xp9th7,ark:/21198/z1cc3q0x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3q0x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_042.tif,Page,Page 42,42,ark:/21198/z1xp9th7,ark:/21198/z17m2z86,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2z86
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_043.tif,Page,Page 43,43,ark:/21198/z1xp9th7,ark:/21198/z13v26gz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v26gz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_044.tif,Page,Page 44,44,ark:/21198/z1xp9th7,ark:/21198/z1031frj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031frj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_045.tif,Page,Page 45,45,ark:/21198/z1xp9th7,ark:/21198/z1vb0zb5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0zb5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_046.tif,Page,Page 46,46,ark:/21198/z1xp9th7,ark:/21198/z1qk06kc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk06kc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_047.tif,Page,Page 47,47,ark:/21198/z1xp9th7,ark:/21198/z1kw8598,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw8598
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_048.tif,Page,Page 48,48,ark:/21198/z1xp9th7,ark:/21198/z1g47dm9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47dm9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_049.tif,Page,Page 49,49,ark:/21198/z1xp9th7,ark:/21198/z1bc6nv4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6nv4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_050.tif,Page,Page 50,50,ark:/21198/z1xp9th7,ark:/21198/z16m5x3c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5x3c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195209_051.tif,Page,Page 51,51,ark:/21198/z1xp9th7,ark:/21198/z12v55c1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v55c1
