File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_001.tif,Page,Page 1,1,ark:/21198/z1z05xpm,ark:/21198/z10p3npr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3npr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_002.tif,Page,Page 2,2,ark:/21198/z1z05xpm,ark:/21198/z1vx3579,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx3579
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_003.tif,Page,Page 3,3,ark:/21198/z1z05xpm,ark:/21198/z1r52df0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52df0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_004.tif,Page,Page 4,4,ark:/21198/z1z05xpm,ark:/21198/z1md1nq8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1nq8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_005.tif,Page,Page 5,5,ark:/21198/z1z05xpm,ark:/21198/z1gn0wxn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0wxn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_006.tif,Page,Page 6,6,ark:/21198/z1z05xpm,ark:/21198/z1bw058m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw058m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_007.tif,Page,Page 7,7,ark:/21198/z1z05xpm,ark:/21198/z17683zz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17683zz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_008.tif,Page,Page 8,8,ark:/21198/z1z05xpm,ark:/21198/z13f7c9j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7c9j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_009.tif,Page,Page 9,9,ark:/21198/z1z05xpm,ark:/21198/z1zp6vsd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6vsd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_010.tif,Page,Page 10,10,ark:/21198/z1z05xpm,ark:/21198/z1tx642g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx642g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_011.tif,Page,Page 11,11,ark:/21198/z1z05xpm,ark:/21198/z1q55c85,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55c85
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_012.tif,Page,Page 12,12,ark:/21198/z1z05xpm,ark:/21198/z1kd4mh0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4mh0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_013.tif,Page,Page 13,13,ark:/21198/z1z05xpm,ark:/21198/z1fn3vtq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3vtq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_014.tif,Page,Page 14,14,ark:/21198/z1z05xpm,ark:/21198/z1b01th1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01th1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_015.tif,Page,Page 15,15,ark:/21198/z1z05xpm,ark:/21198/z16712w1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16712w1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_016.tif,Page,Page 16,16,ark:/21198/z1z05xpm,ark:/21198/z12g0b5q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12g0b5q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_017.tif,Page,Page 17,17,ark:/21198/z1z05xpm,ark:/21198/z1xp9tn1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9tn1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_018.tif,Page,Page 18,18,ark:/21198/z1z05xpm,ark:/21198/z1sx92w7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx92w7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330701_019.tif,Page,Page 19,19,ark:/21198/z1z05xpm,ark:/21198/z1p58b4s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58b4s
