File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_001.tif,Page,Page 1,1,ark:/21198/z1zw48gn,ark:/21198/z16q4kw6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4kw6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_002.tif,Page,Page 2,2,ark:/21198/z1zw48gn,ark:/21198/z12z3v5w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3v5w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_003.tif,Page,Page 3,3,ark:/21198/z1zw48gn,ark:/21198/z1z63bm0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63bm0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_004.tif,Page,Page 4,4,ark:/21198/z1zw48gn,ark:/21198/z1tf2kz5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2kz5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_005.tif,Page,Page 5,5,ark:/21198/z1zw48gn,ark:/21198/z1ps0jjt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0jjt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_006.tif,Page,Page 6,6,ark:/21198/z1zw48gn,ark:/21198/z1k09sx6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09sx6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_007.tif,Page,Page 7,7,ark:/21198/z1zw48gn,ark:/21198/z1f7927q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f7927q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_008.tif,Page,Page 8,8,ark:/21198/z1zw48gn,ark:/21198/z19g89h0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g89h0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_009.tif,Page,Page 9,9,ark:/21198/z1zw48gn,ark:/21198/z15q7jrt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7jrt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_010.tif,Page,Page 10,10,ark:/21198/z1zw48gn,ark:/21198/z11z6t1h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6t1h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330429_011.tif,Page,Page 11,11,ark:/21198/z1zw48gn,ark:/21198/z1x669kz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669kz
