Object Type,Item ARK,Parent ARK,Title,Local identifier,File Name,Visibility,Date.created,Date.normalized,Contents note,Format.extent,Type.typeOfResource,Genre,Language,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,Contributor,Subject topic,Program,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Work,ark:/21198/z1f21qmr,ark:/21198/z19c9kx1,Universidad del Aire 1949-01-09,ihc_udelaire_19490109,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19490109.wav,open,1949-01-09,1949-01-09,Introducción al Curso. Ideas y Problemas de Nuestro Tiempo.|~|Parts 1-4,00 hr. 53 min. 04 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.|~|Bustamante y Montoro, Dr.|~|Mestre, Goar",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.|~|Bustamante y Montoro, Dr.|~|Mestre, Goar",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/f2/1q/mr/21198=z1f21qmr/ark%2B=21198=z1f21qmr.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1f21qmr%2Faudiowaveform.dat,,,3184.16,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f21qmr/manifest
Work,ark:/21198/z1990zzx,ark:/21198/z19c9kx1,Universidad del Aire 1949-03-13,ihc_udelaire_19490313,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19490313.wav,open,1949-03-13,1949-03-13,"Orientaciones Recientes de la Teoría Histórica. Los Nuevos Instrumentos de la Opinión Pública.|~|Parts 1-5, Beginning damaged",00 hr. 57 min. 39 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.|~|Guerra, Ramiro, Dr.|~|Ichaso, Francisco, Dr.|~|Mestre, Goar",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.|~|Guerra, Ramiro, Dr.|~|Ichaso, Francisco, Dr.|~|Mestre, Goar",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/99/0z/zx/21198=z1990zzx/ark%2B=21198=z1990zzx.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1990zzx%2Faudiowaveform.dat,,,3459.295271,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1990zzx/manifest
Work,ark:/21198/z15j0770,ark:/21198/z19c9kx1,Universidad del Aire 1949-10-02,ihc_udelaire_19491002,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491002.wav,open,1949-10-02,1949-10-02,"Los Ideales Cubanos de la Fundación están siendo cumplidos en la República?|~|Part 6, Parts 1 and 2 not owned by Universidad del Aire",00 hr. 14 min. 08 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Loynaz del Castillo, Enrique, Mayor General|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Loynaz del Castillo, Enrique, Mayor General|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/5j/07/70/21198=z15j0770/ark%2B=21198=z15j0770.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz15j0770%2Faudiowaveform.dat,,,848.791854,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15j0770/manifest
Work,ark:/21198/z11v85zg,ark:/21198/z19c9kx1,Universidad del Aire 1949-10-09,ihc_udelaire_19491009,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491009.wav,open,1949-10-09,1949-10-09,Ha habido una Revolución en Cuba? Preguntas y Respuestas.|~|Parts 4-6,00 hr. 32 min. 37 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Padilla, Juan Antonio Rubio, Dr.|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Padilla, Juan Antonio Rubio, Dr.|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/1v/85/zg/21198=z11v85zg/ark%2B=21198=z11v85zg.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz11v85zg%2Faudiowaveform.dat,,,1957.945104,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v85zg/manifest
Work,ark:/21198/z1x37phz,ark:/21198/z19c9kx1,Universidad del Aire 1949-10-16,ihc_udelaire_19491016,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491016.wav,open,1949-10-16,1949-10-16,"Hay una crisis de la moral privada y de la moral pública? Apatía, inconsciencia y complicidad en el ciudadano.|~|Parts 1-3",00 hr. 59 min. 11 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Vitier, Medardo, Dr.|~|Mañach, Jorge, Dr.|~|Irizarri, José Miguel, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Vitier, Medardo, Dr.|~|Mañach, Jorge, Dr.|~|Irizarri, José Miguel, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/x3/7p/hz/21198=z1x37phz/ark%2B=21198=z1x37phz.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1x37phz%2Faudiowaveform.dat,,,3551.012167,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x37phz/manifest
Work,ark:/21198/z1sb6xrs,ark:/21198/z19c9kx1,Universidad del Aire 1949-10-23,ihc_udelaire_19491023,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491023.wav,open,1949-10-23,1949-10-23,Preguntas y Respuestas.|~|Part 5,00 hr. 10 min. 38 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/sb/6x/rs/21198=z1sb6xrs/ark%2B=21198=z1sb6xrs.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1sb6xrs%2Faudiowaveform.dat,,,638.042667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb6xrs/manifest
Work,ark:/21198/z1nk661v,ark:/21198/z19c9kx1,Universidad del Aire 1949-10-30,ihc_udelaire_19491030,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491030.wav,open,1949-10-30,1949-10-30,Cómo debe orientarse Cuba ante la disputa ideológica del mundo? Los partidos políticos cubanos.|~|Parts 1-5,01 hr. 00 min. 57 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Zizallas, Carlos Saladrigas, Dr.|~|Mañach, Jorge, Dr.|~|Sterling, Carlos Mark, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Zizallas, Carlos Saladrigas, Dr.|~|Mañach, Jorge, Dr.|~|Sterling, Carlos Mark, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/nk/66/1v/21198=z1nk661v/ark%2B=21198=z1nk661v.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1nk661v%2Faudiowaveform.dat,,,3657.113313,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nk661v/manifest
Work,ark:/21198/z1ht5f8p,ark:/21198/z19c9kx1,Universidad del Aire 1949-12-04,ihc_udelaire_19491204,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491204.wav,open,1949-12-04,1949-12-04,Preguntas y Respuestas.|~|Part 1,00 hr. 13 min. 42 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Zardiñas, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Zardiñas, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/ht/5f/8p/21198=z1ht5f8p/ark%2B=21198=z1ht5f8p.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1ht5f8p%2Faudiowaveform.dat,,,822.8,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht5f8p/manifest
Work,ark:/21198/z1d24pkq,ark:/21198/z19c9kx1,Universidad del Aire 1949-12-11,ihc_udelaire_19491211,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491211.wav,open,1949-12-11,1949-12-11,Preguntas y Respuestas.|~|Parts 1 and 2,00 hr. 30 min. 24 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Guerra, Ramiro, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Guerra, Ramiro, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/d2/4p/kq/21198=z1d24pkq/ark%2B=21198=z1d24pkq.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1d24pkq%2Faudiowaveform.dat,,,1823.9625,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d24pkq/manifest
Work,ark:/21198/z1893xwf,ark:/21198/z19c9kx1,Universidad del Aire 1949-12-18,ihc_udelaire_19491218,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491218.wav,open,1949-12-18,1949-12-18,Preguntas y Respuestas.|~|Parts 1 and 2,00 hr. 23 min. 14 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Isalgue de Massip, Sara, Dr.|~|Guerra, José Antonio, Dr.|~|Mañach, Jorge, Dr.|~|Torres, Jaime, Don",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Isalgue de Massip, Sara, Dr.|~|Guerra, José Antonio, Dr.|~|Mañach, Jorge, Dr.|~|Torres, Jaime, Don",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/89/3x/wf/21198=z1893xwf/ark%2B=21198=z1893xwf.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1893xwf%2Faudiowaveform.dat,,,1394.922667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1893xwf/manifest
