"Object Type","Parent ARK","Item ARK","Title","File Name","Item Sequence","Type.typeOfResource","viewingHint","IIIF Access URL","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","Subject topic","Genre","Date.normalized","Date.creation","Description.note","AltTitle.uniform","Opac url","Place of origin","Format.extent","IIIF Manifest URL"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tk6g","Año 1, número 1. 18 mayo 1890","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tk70","pd","","","","","newspapers","1890-05-18","18 mayo 1890","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tk6g/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tkrr","Año 1, número 12. 21 diciembre 1890","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tks8","pd","","","","","newspapers","1890-12-21","21 diciembre 1890","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tkrr/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tm3d","Año 2, número 14. 18 enero 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tm4x","pd","","","","","newspapers","1891-01-18","18 enero 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tm3d/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tm80","Año 2, número 17. 8 marzo 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tm9h","pd","","","","","newspapers","1891-03-08","8 marzo 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tm80/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tmfk","Año 2, número 19. 5 abril 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tmg3","pd","","","","","newspapers","1891-04-05","5 abril 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tmfk/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tmm5","Año 2, número 21. 1 mayo 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tmnp","pd","","","","","newspapers","1891-05-01","1 mayo 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tmm5/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tmsr","Año 2, número 22. 17 mayo 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tmt8","pd","","","","","newspapers","1891-05-17","17 mayo 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tmsr/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tmzb","Año 2, número 27. 23 agosto 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tn0b","pd","","","","","newspapers","1891-08-23","23 agosto 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tmzb/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tn4d","Año 2, número 28. 6 septiembre 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tn5x","pd","","","","","newspapers","1891-09-06","6 septiembre 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tn4d/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tn90","Año 2, número 30. 18 octubre 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tnbh","pd","","","","","newspapers","1891-10-18","18 octubre 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tn90/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tngk","Año 2, número 31. 11 noviembre 1891","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tnh3","pd","","","","","newspapers","1891-11-11","11 noviembre 1891","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tngk/manifest"
